DataOraIncidente,NumeroIncidenti
2022-01-01,38
2022-01-02,2
2022-01-03,31
2022-01-04,32
2022-01-05,39
2022-01-06,22
2022-01-07,34
2022-01-08,59
2022-01-09,38
2022-01-10,48
2022-01-11,48
2022-01-12,45
2022-01-13,57
2022-01-14,92
2022-01-15,47
2022-01-16,28
2022-01-17,52
2022-01-18,42
2022-01-19,44
2022-01-20,66
2022-01-21,85
2022-01-22,64
2022-01-23,17
2022-01-24,48
2022-01-25,48
2022-01-26,70
2022-01-27,39
2022-01-28,51
2022-01-29,52
2022-01-30,39
2022-01-31,40
2022-02-01,50
2022-02-02,61
2022-02-03,74
2022-02-04,58
2022-02-05,58
2022-02-06,21
2022-02-07,62
2022-02-08,78
2022-02-09,60
2022-02-10,71
2022-02-11,42
2022-02-12,73
2022-02-13,59
2022-02-14,74
2022-02-15,47
2022-02-16,59
2022-02-17,40
2022-02-18,76
2022-02-19,72
2022-02-20,46
2022-02-21,53
2022-02-22,71
2022-02-23,57
2022-02-24,80
2022-02-25,56
2022-02-26,42
2022-02-27,41
2022-02-28,61
2022-03-01,62
2022-03-02,71
2022-03-03,54
2022-03-04,82
2022-03-05,67
2022-03-06,42
2022-03-07,51
2022-03-08,66
2022-03-09,76
2022-03-10,78
2022-03-11,70
2022-03-12,91
2022-03-13,54
2022-03-14,70
2022-03-15,50
2022-03-16,55
2022-03-17,103
2022-03-18,65
2022-03-19,49
2022-03-20,38
2022-03-21,51
2022-03-22,72
2022-03-23,61
2022-03-24,75
2022-03-25,66
2022-03-26,52
2022-03-27,54
2022-03-28,70
2022-03-29,60
2022-03-30,47
2022-03-31,70
2022-04-01,75
2022-04-02,37
2022-04-03,29
2022-04-04,80
2022-04-05,72
2022-04-06,46
2022-04-07,82
2022-04-08,62
2022-04-09,39
2022-04-10,68
2022-04-11,97
2022-04-12,76
2022-04-13,66
2022-04-14,40
2022-04-15,73
2022-04-16,35
2022-04-17,53
2022-04-18,35
2022-04-19,59
2022-04-20,61
2022-04-21,80
2022-04-22,73
2022-04-23,41
2022-04-24,40
2022-04-25,39
2022-04-26,73
2022-04-27,46
2022-04-28,77
2022-04-29,83
2022-04-30,31
2022-05-01,43
2022-05-02,72
2022-05-03,44
2022-05-04,67
2022-05-05,59
2022-05-06,70
2022-05-07,44
2022-05-08,36
2022-05-09,62
2022-05-10,96
2022-05-11,101
2022-05-12,66
2022-05-13,79
2022-05-14,53
2022-05-15,38
2022-05-16,74
2022-05-17,93
2022-05-18,65
2022-05-19,74
2022-05-20,58
2022-05-21,40
2022-05-22,18
2022-05-23,72
2022-05-24,79
2022-05-25,53
2022-05-26,69
2022-05-27,53
2022-05-28,71
2022-05-29,25
2022-05-30,65
2022-05-31,90
2022-06-01,86
2022-06-02,30
2022-06-03,42
2022-06-04,51
2022-06-05,27
2022-06-06,66
2022-06-07,64
2022-06-08,99
2022-06-09,60
2022-06-10,86
2022-06-11,48
2022-06-12,74
2022-06-13,75
2022-06-14,64
2022-06-15,62
2022-06-16,67
2022-06-17,48
2022-06-18,47
2022-06-19,17
2022-06-20,34
2022-06-21,42
2022-06-22,65
2022-06-23,52
2022-06-24,42
2022-06-25,37
2022-06-26,29
2022-06-27,55
2022-06-28,59
2022-06-29,30
2022-06-30,54
2022-07-01,48
2022-07-02,37
2022-07-03,22
2022-07-04,52
2022-07-05,50
2022-07-06,40
2022-07-07,58
2022-07-08,67
2022-07-09,28
2022-07-10,20
2022-07-11,66
2022-07-12,36
2022-07-13,41
2022-07-14,48
2022-07-15,63
2022-07-16,47
2022-07-17,26
2022-07-18,56
2022-07-19,42
2022-07-20,42
2022-07-21,34
2022-07-22,39
2022-07-23,31
2022-07-24,38
2022-07-25,39
2022-07-26,48
2022-07-27,40
2022-07-28,46
2022-07-29,49
2022-07-30,33
2022-07-31,30
2022-08-01,74
2022-08-02,37
2022-08-03,46
2022-08-04,62
2022-08-05,42
2022-08-06,26
2022-08-07,6
2022-08-08,22
2022-08-09,31
2022-08-10,11
2022-08-11,13
2022-08-12,28
2022-08-13,16
2022-08-14,9
2022-08-15,13
2022-08-16,12
2022-08-17,32
2022-08-18,28
2022-08-19,13
2022-08-20,16
2022-08-21,11
2022-08-22,22
2022-08-23,22
2022-08-24,23
2022-08-25,16
2022-08-26,8
2022-08-27,7
2022-08-28,30
2022-08-29,51
2022-08-30,31
2022-08-31,17
