Protocollo,Longitude,Latitude,DataOraIncidente,NaturaIncidente,Municipio
5765328,12.6777,41.8635,2022-01-01 19:25:00,C8,Municipio VI
5769881,,,2022-01-07 02:42:00,C5,
5772566,12.4215,41.9028,2022-01-08 11:30:00,C3,Municipio XIII
5774885,12.435,41.8902,2022-01-11 09:10:00,C1,Municipio XIII
5777422,,,2022-01-13 08:29:00,C1,
5778548,12.2996,41.7333,2022-01-13 19:05:00,C1,Municipio X
5779158,12.493,41.9404,2022-01-14 09:00:00,C2,Municipio II
5782762,12.4425,41.8999,2022-01-14 12:40:00,C8,Municipio XIII
5786220,12.5051,42.0265,2022-01-19 17:25:00,C1,Municipio XV
5789537,12.4674,41.8048,2022-01-22 01:30:00,C5,Municipio IX
5792841,12.4069,41.9145,2022-01-24 20:15:00,C8,Municipio XIII
5797962,12.4797,41.9097,2022-01-28 06:55:00,C1,Municipio I
5801072,12.4123,41.9234,2022-01-29 19:25:00,C2,Municipio XIV
5804527,12.5258,41.7831,2022-02-01 17:30:00,C7,Municipio IX
5809596,,,2022-02-05 17:40:00,C8,
5820729,12.6281,41.8764,2022-02-12 22:00:00,C5,Municipio VI
5823443,12.473,42.0352,2022-02-14 20:30:00,C5,Municipio XV
5827098,12.4952,41.9188,2022-02-16 18:00:00,C1,Municipio II
5828401,12.5886,41.9222,2022-02-17 13:45:00,C2,Municipio IV
5854415,12.4196,41.8317,2022-03-06 11:20:00,C5,Municipio XI
5855071,12.5314,41.9079,2022-03-05 06:45:00,C5,Municipio II
5855565,,,2022-03-07 08:45:00,C2,
5857003,12.6064,41.9175,2022-03-08 09:45:00,C1,Municipio V
5857333,12.454,41.8286,2022-03-08 06:40:00,C8,Municipio IX
5865330,12.5255,41.8131,2022-03-13 18:40:00,C8,Municipio VIII
5876003,12.5255,41.8131,2022-03-20 19:45:00,C5,Municipio VIII
5880154,12.3688,41.7867,2022-03-23 09:30:00,C5,Municipio X
5885177,12.5668,41.8842,2022-03-26 04:45:00,C2,Municipio V
5899944,12.4506,41.7882,2022-04-05 00:50:00,C1,Municipio IX
5904368,12.4703,41.9422,2022-04-07 17:30:00,C5,Municipio XV
5915878,12.4505,41.9084,2022-04-14 13:20:00,C8,Municipio I
5919689,12.4115,41.7858,2022-04-19 01:40:00,C5,Municipio IX
5921892,12.5285,41.9096,2022-04-19 21:20:00,C1,Municipio II
5930917,12.3407,41.9331,2022-04-27 02:40:00,C7,Municipio XIII
5946652,12.6557,41.8643,2022-05-07 00:05:00,C2,Municipio VI
5949622,12.4811,41.9383,2022-05-08 22:05:00,C5,Municipio XV
5956198,12.5218,41.8795,2022-05-12 21:30:00,C8,Municipio VII
5968168,12.5228,41.8272,2022-05-19 21:30:00,C7,Municipio VIII
5970931,12.5704,41.8591,2022-05-21 18:00:00,C7,Municipio VII
5987089,12.459,41.8579,2022-06-01 05:00:00,C2,Municipio XI
5987198,12.4251,41.9022,2022-06-01 00:55:00,C3,Municipio XIII
5989356,,,2022-06-02 09:50:00,C1,
6014500,12.5733,41.8147,2022-06-18 01:20:00,C5,Municipio VII
6031071,12.5917,41.8811,2022-06-28 08:00:00,C6,Municipio V
6031381,12.4661,41.8317,2022-06-30 09:00:00,C1,Municipio IX
6031381,12.4661,41.8317,2022-06-30 09:00:00,C1,Municipio IX
6041826,12.5001,41.8712,2022-07-07 21:40:00,C4,Municipio I
6045381,12.499,41.9407,2022-07-11 00:10:00,C2,Municipio II
6045381,12.499,41.9407,2022-07-11 00:10:00,C2,Municipio II
6050018,12.4198,41.8966,2022-07-14 07:30:00,C2,Municipio XIII
6051967,12.6237,41.9391,2022-07-15 12:40:00,C2,Municipio IV
6069267,12.4522,41.796,2022-07-29 16:45:00,C8,Municipio IX
6070438,12.4856,41.8103,2022-07-31 04:00:00,C5,Municipio IX
6086380,12.435,41.8902,2022-08-15 18:25:00,C5,Municipio XIII
6090238,12.54,41.8922,2022-08-20 22:07:00,C1,Municipio V
6090505,12.4202,41.9396,2022-08-21 15:00:00,C7,Municipio XIV
6092719,12.6011,41.8646,2022-08-24 04:07:00,C2,Municipio VI
6096855,12.6225,41.8438,2022-08-28 10:10:00,C5,Municipio VII
