Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
4164888,,,2019-01-05 15:10:00,
4165952,,,2019-01-04 15:15:00,
4166272,,,2019-01-07 04:55:00,
4166507,,,2019-01-04 15:00:00,
4167419,,,2019-01-08 02:35:00,
4168606,,,2019-01-08 18:50:00,
4177518,,,2019-01-14 14:50:00,
4187086,,,2019-01-21 00:30:00,
4187086,,,2019-01-21 00:30:00,
4212832,,,2019-01-04 19:20:00,
4205965,,,2019-02-01 00:50:00,
4255590,,,2019-03-03 13:35:00,
4257523,,,2019-03-04 18:23:00,
4258824,,,2019-03-05 10:00:00,
4262608,,,2019-03-07 10:50:00,
4266090,,,2019-03-09 22:25:00,
4267934,,,2019-03-11 05:50:00,
4314435,,,2019-04-07 00:04:00,
4326935,,,2019-04-14 02:00:00,
4337432,,,2019-04-20 01:30:00,
4343582,,,2019-04-24 20:10:00,
4343678,,,2019-04-24 21:30:00,
4347671,,,2019-04-28 23:10:00,
4360584,,,2019-05-06 21:15:00,
4361830,,,2019-05-07 12:00:00,
4374104,,,2019-05-14 22:10:00,
4379454,,,2019-05-17 12:20:00,
4385022,,,2019-05-20 17:15:00,
4394068,,,2019-05-27 03:15:00,
4397020,,,2019-05-17 13:41:00,
4422152,,,2019-05-25 19:00:00,
4413518,12.38899,41.94215,2019-06-06 17:15:00,Municipio XIV
4415831,12.55734,41.90459,2019-06-08 02:40:00,Municipio IV
4421670,,,2019-06-12 00:20:00,
4430194,12.55325,41.88148,2019-06-16 17:30:00,Municipio V
4441402,12.57536,41.84843,2019-06-24 08:20:00,Municipio VII
4448669,12.37959,41.93252,2019-06-27 17:30:00,Municipio XIV
4454793,12.474,41.8399,2019-07-02 13:55:00,Municipio IX
4461861,12.5282,41.9184,2019-07-07 06:30:00,Municipio IV
4461887,12.5728,41.9579,2019-07-07 06:00:00,Municipio III
4466096,12.4867,41.9395,2019-07-09 17:00:00,Municipio II
4467898,12.4663,41.9435,2019-07-10 20:05:00,Municipio XV
4468498,12.5094,41.8853,2019-07-11 10:40:00,Municipio VII
4471042,12.3891,41.9139,2019-07-12 23:15:00,Municipio XIII
4479513,12.6105,41.8206,2019-07-18 16:05:00,Municipio VII
4483476,12.5259,41.9765,2019-07-21 15:45:00,Municipio III
4487286,,,2019-07-24 05:00:00,
4490585,12.448,41.9425,2019-07-26 11:00:00,Municipio XV
4496950,12.3645,41.7864,2019-07-31 11:30:00,Municipio X
4504823,12.4632,41.8403,2019-08-06 22:00:00,Municipio IX
4515827,12.4571,41.9573,2019-08-19 11:00:00,Municipio XV
4517134,12.3081,41.7541,2019-08-20 17:40:00,Municipio X
4521169,12.5447,41.8648,2019-08-24 12:25:00,Municipio V
4527221,12.4538,41.9301,2019-08-30 09:20:00,Municipio I
4534975,12.2645,41.9074,2019-09-05 08:15:00,Municipio XIII
4540639,12.425,41.924,2019-09-09 08:40:00,Municipio XIV
4546767,12.5665,41.8998,2019-09-12 18:45:00,Municipio V
4546922,12.6832,41.8626,2019-09-12 22:40:00,Municipio VI
4547390,12.527,41.9196,2019-09-12 18:15:00,Municipio IV
4560859,12.4536,41.8089,2019-09-21 04:30:00,Municipio IX
4574713,12.2826,41.7276,2019-09-29 11:10:00,Municipio X
4574876,12.3588,41.7766,2019-09-29 11:10:00,Municipio X
4577326,12.5327,41.9452,2019-09-30 14:20:00,Municipio III
4581491,12.371,41.9903,2019-10-02 18:30:00,Municipio XIV
4585432,12.4536,41.8089,2019-10-05 01:30:00,Municipio IX
4595794,,,2019-10-10 19:15:00,
4599331,12.6743,41.864,2019-10-13 05:10:00,Municipio VI
4599775,12.6253,41.9,2019-10-13 15:15:00,Municipio VI
4599775,12.6253,41.9,2019-10-13 15:15:00,Municipio VI
4625142,12.4132,41.9586,2019-10-26 15:00:00,Municipio XIV
4647603,12.4901,41.8882,2019-11-10 03:05:00,Municipio I
4651123,12.501,41.8019,2019-11-12 08:30:00,Municipio IX
4652464,12.2653,41.7454,2019-11-12 23:25:00,Municipio X
4652927,12.6024,41.841,2019-11-13 07:05:00,Municipio VII
4666217,12.3753,42.0286,2019-11-20 01:37:00,Municipio XV
4666217,12.3753,42.0286,2019-11-20 01:37:00,Municipio XV
4667955,,,2019-11-21 08:00:00,
4680044,12.4773,41.8856,2019-11-27 17:00:00,Municipio I
4692406,12.4077,41.8957,2019-12-04 19:15:00,Municipio XIII
4698323,12.6371,41.9444,2019-12-08 20:45:00,Municipio IV
4699762,12.5594,41.8948,2019-12-09 19:10:00,Municipio V
4700012,12.4536,41.8089,2019-12-09 22:15:00,Municipio IX
4703171,,,2019-12-11 09:10:00,
4703210,12.3048,41.7607,2019-12-11 05:00:00,Municipio X
4718159,12.3841,41.915,2019-12-20 08:35:00,Municipio XIII
4720789,12.4706,41.9417,2019-12-22 00:27:00,Municipio XV
4720944,12.4846,41.8756,2019-12-22 04:30:00,Municipio I
4731246,12.496,41.9036,2019-12-31 08:10:00,Municipio I
4749146,12.5946,41.9331,2019-12-20 18:30:00,Municipio IV
4749154,12.5525,41.9139,2019-12-23 12:20:00,Municipio IV
