Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
4733115,12.4325,41.8533,2020-01-01 05:00:00,Municipio XI
4733119,12.5419,41.8668,2020-01-01 19:10:00,Municipio VII
4733119,12.5419,41.8668,2020-01-01 19:10:00,Municipio VII
4733119,12.5419,41.8668,2020-01-01 19:10:00,Municipio VII
4733119,12.5419,41.8668,2020-01-01 19:10:00,Municipio VII
4733122,12.4649,41.8651,2020-01-01 17:20:00,Municipio XI
4733122,12.4649,41.8651,2020-01-01 17:20:00,Municipio XI
4733125,12.5599,41.8262,2020-01-01 04:30:00,Municipio VIII
4733125,12.5599,41.8262,2020-01-01 04:30:00,Municipio VIII
4733129,12.6162,41.8632,2020-01-01 01:00:00,Municipio VI
4733132,12.5103,41.8759,2020-01-01 00:30:00,Municipio VII
4733132,12.5103,41.8759,2020-01-01 00:30:00,Municipio VII
4733132,12.5103,41.8759,2020-01-01 00:30:00,Municipio VII
4733132,12.5103,41.8759,2020-01-01 00:30:00,Municipio VII
4733140,12.5811,41.892,2020-01-01 10:20:00,Municipio V
4733144,12.447,41.9633,2020-01-01 05:50:00,Municipio XV
4733144,12.447,41.9633,2020-01-01 05:50:00,Municipio XV
4733144,12.447,41.9633,2020-01-01 05:50:00,Municipio XV
4733149,12.6199,41.8628,2020-01-01 23:50:00,Municipio VI
4733149,12.6199,41.8628,2020-01-01 23:50:00,Municipio VI
4733153,12.6155,41.8933,2020-01-01 03:50:00,Municipio VI
4733153,12.6155,41.8933,2020-01-01 03:50:00,Municipio VI
4733163,12.4701,41.9656,2020-01-01 02:00:00,Municipio XV
4733166,12.5118,41.8737,2020-01-02 06:40:00,Municipio VII
4733166,12.5118,41.8737,2020-01-02 06:40:00,Municipio VII
4733169,12.5155,41.8922,2020-01-01 08:45:00,Municipio VII
4733169,12.5155,41.8922,2020-01-01 08:45:00,Municipio VII
4733175,12.5355,41.8708,2020-01-01 19:12:00,Municipio VII
4733175,12.5355,41.8708,2020-01-01 19:12:00,Municipio VII
4733178,12.5597,41.9062,2020-01-01 17:50:00,Municipio IV
4733178,12.5597,41.9062,2020-01-01 17:50:00,Municipio IV
4733181,12.5139,41.8787,2020-01-01 10:30:00,Municipio VII
4733181,12.5139,41.8787,2020-01-01 10:30:00,Municipio VII
4733194,12.5476,41.9156,2020-01-01 23:45:00,Municipio IV
4733194,12.5476,41.9156,2020-01-01 23:45:00,Municipio IV
4733194,12.5476,41.9156,2020-01-01 23:45:00,Municipio IV
4733195,12.5582,41.8987,2020-01-01 21:10:00,Municipio V
4733195,12.5582,41.8987,2020-01-01 21:10:00,Municipio V
4733195,12.5582,41.8987,2020-01-01 21:10:00,Municipio V
4733203,12.5108,41.8857,2020-01-01 03:30:00,Municipio VII
4733203,12.5108,41.8857,2020-01-01 03:30:00,Municipio VII
4733216,12.4863,41.9087,2020-01-01 05:30:00,Municipio II
