,Protocollo,Longitude,Latitude,NaturaIncidente,DataOraIncidente,CondizioneAtmosferica,Municipio
27,5765328,12.6777,41.8635,C8,2022-01-10,Sereno,Municipio VI
1032,5772566,12.4215,41.9028,C3,2022-01-10,Sereno,Municipio XIII
1387,5774885,12.435,41.8902,C1,2022-01-20,Sereno,Municipio XIII
1920,5778548,12.2996,41.7333,C1,2022-01-20,Sereno,Municipio X
1981,5779158,12.493,41.9404,C2,2022-01-20,Sereno,Municipio II
2588,5782762,12.4425,41.8999,C8,2022-01-20,Sereno,Municipio XIII
2995,5786220,12.5051,42.0265,C1,2022-01-20,Sereno,Municipio XV
3413,5789537,12.4674,41.8048,C5,2022-02-01,Sereno,Municipio IX
4030,5792841,12.4069,41.9145,C8,2022-02-01,Sereno,Municipio XIII
4784,5797962,12.4797,41.9097,C1,2022-02-01,Nuvoloso,Municipio I
5210,5801072,12.4123,41.9234,C2,2022-02-01,Sereno,Municipio XIV
5797,5804527,12.5258,41.7831,C7,2022-02-10,Sereno,Municipio IX
7944,5820729,12.6281,41.8764,C5,2022-02-20,Sereno,Municipio VI
8447,5823443,12.473,42.0352,C5,2022-02-20,Nuvoloso,Municipio XV
8984,5827098,12.4952,41.9188,C1,2022-02-20,Sereno,Municipio II
9105,5828401,12.5886,41.9222,C2,2022-02-20,Sereno,Municipio IV
12761,5854415,12.4196,41.8317,C5,2022-03-10,Sereno,Municipio XI
12967,5855071,12.5314,41.9079,C5,2022-03-10,Nuvoloso,Municipio II
13315,5857003,12.6064,41.9175,C1,2022-03-10,Sereno,Municipio V
13370,5857333,12.454,41.8286,C8,2022-03-10,Sereno,Municipio IX
14581,5865330,12.5255,41.8131,C8,2022-03-20,Sereno,Municipio VIII
16043,5876003,12.5255,41.8131,C5,2022-03-10,Sereno,Municipio VIII
16796,5880154,12.3688,41.7867,C5,2022-04-01,Sereno,Municipio X
17385,5885177,12.5668,41.8842,C2,2022-04-01,Sereno,Municipio V
19755,5899944,12.4506,41.7882,C1,2022-04-10,Sereno,Municipio IX
20371,5904368,12.4703,41.9422,C5,2022-04-10,Sereno,Municipio XV
22231,5915878,12.4505,41.9084,C8,2022-04-20,Sereno,Municipio I
22747,5919689,12.4115,41.7858,C5,2022-04-20,Sereno,Municipio IX
23325,5921892,12.5285,41.9096,C1,2022-04-20,Sereno,Municipio II
24725,5930917,12.3407,41.9331,C7,2022-05-01,Sereno,Municipio XIII
27139,5946652,12.6557,41.8643,C2,2022-05-10,Nuvoloso,Municipio VI
27582,5949622,12.4811,41.9383,C5,2022-05-10,Nuvoloso,Municipio XV
28548,5956198,12.5218,41.8795,C8,2022-05-20,Sereno,Municipio VII
30296,5968168,12.5228,41.8272,C7,2022-05-20,Sereno,Municipio VIII
30512,5970931,12.5704,41.8591,C7,2022-06-01,Sereno,Municipio VII
32950,5987089,12.459,41.8579,C2,2022-06-10,Sereno,Municipio XI
32954,5987198,12.4251,41.9022,C3,2022-06-10,Sereno,Municipio XIII
36457,6014500,12.5733,41.8147,C5,2022-06-20,Sereno,Municipio VII
38425,6031071,12.5917,41.8811,C6,2022-07-01,Sereno,Municipio V
38523,6031381,12.4661,41.8317,C1,2022-07-01,Sereno,Municipio IX
38524,6031381,12.4661,41.8317,C1,2022-07-01,Sereno,Municipio IX
39848,6041826,12.5001,41.8712,C4,2022-07-10,Sereno,Municipio I
40141,6045381,12.499,41.9407,C2,2022-07-20,Sereno,Municipio II
40142,6045381,12.499,41.9407,C2,2022-07-20,Sereno,Municipio II
40922,6050018,12.4198,41.8966,C2,2022-07-20,Sereno,Municipio XIII
41127,6051967,12.6237,41.9391,C2,2022-07-20,Sereno,Municipio IV
43551,6069267,12.4522,41.796,C8,2022-08-01,Sereno,Municipio IX
43698,6070438,12.4856,41.8103,C5,2022-08-01,Sereno,Municipio IX
45663,6086380,12.435,41.8902,C5,2022-08-20,Sereno,Municipio XIII
46007,6090238,12.54,41.8922,C1,2022-08-10,Sereno,Municipio V
46028,6090505,12.4202,41.9396,C7,2022-09-01,Sereno,Municipio XIV
46286,6092719,12.6011,41.8646,C2,2022-09-01,Sereno,Municipio VI
46604,6096855,12.6225,41.8438,C5,2022-09-01,Sereno,Municipio VII
