,Protocollo,Longitude,Latitude,NaturaIncidente,DataOraIncidente,CondizioneAtmosferica,Municipio
0,4733115,12.4325,41.8533,C3,2020-01-10,Sereno,Municipio XI
1,4733119,12.5419,41.8668,C4,2020-01-10,Sereno,Municipio VII
2,4733119,12.5419,41.8668,C4,2020-01-10,Sereno,Municipio VII
3,4733119,12.5419,41.8668,C4,2020-01-10,Sereno,Municipio VII
4,4733119,12.5419,41.8668,C4,2020-01-10,Sereno,Municipio VII
5,4733122,12.4649,41.8651,C3,2020-01-10,Sereno,Municipio XI
6,4733122,12.4649,41.8651,C3,2020-01-10,Sereno,Municipio XI
7,4733125,12.5599,41.8262,C2,2020-01-10,Sereno,Municipio VIII
8,4733125,12.5599,41.8262,C2,2020-01-10,Sereno,Municipio VIII
9,4733129,12.6162,41.8632,C5,2020-01-10,Sereno,Municipio VI
10,4733132,12.5103,41.8759,,2020-01-10,Sereno,Municipio VII
11,4733132,12.5103,41.8759,,2020-01-10,Sereno,Municipio VII
12,4733132,12.5103,41.8759,,2020-01-10,Sereno,Municipio VII
13,4733132,12.5103,41.8759,,2020-01-10,Sereno,Municipio VII
14,4733140,12.5811,41.892,C5,2020-01-10,Sereno,Municipio V
15,4733144,12.447,41.9633,C4,2020-01-10,Sereno,Municipio XV
16,4733144,12.447,41.9633,C4,2020-01-10,Sereno,Municipio XV
17,4733144,12.447,41.9633,C4,2020-01-10,Sereno,Municipio XV
18,4733149,12.6199,41.8628,C2,2020-01-10,Sereno,Municipio VI
19,4733149,12.6199,41.8628,C2,2020-01-10,Sereno,Municipio VI
20,4733153,12.6155,41.8933,C8,2020-01-10,Sereno,Municipio VI
21,4733153,12.6155,41.8933,C8,2020-01-10,Sereno,Municipio VI
22,4733163,12.4701,41.9656,C5,2020-01-10,Sereno,Municipio XV
23,4733166,12.5118,41.8737,C1,2020-01-10,Sereno,Municipio VII
24,4733166,12.5118,41.8737,C1,2020-01-10,Sereno,Municipio VII
25,4733169,12.5155,41.8922,C2,2020-01-10,Sereno,Municipio VII
26,4733169,12.5155,41.8922,C2,2020-01-10,Sereno,Municipio VII
27,4733175,12.5355,41.8708,C4,2020-01-10,Sereno,Municipio VII
28,4733175,12.5355,41.8708,C4,2020-01-10,Sereno,Municipio VII
29,4733178,12.5597,41.9062,C1,2020-01-10,Sereno,Municipio IV
30,4733178,12.5597,41.9062,C1,2020-01-10,Sereno,Municipio IV
31,4733181,12.5139,41.8787,C4,2020-01-10,,Municipio VII
32,4733181,12.5139,41.8787,C4,2020-01-10,,Municipio VII
33,4733194,12.5476,41.9156,C4,2020-01-10,Sereno,Municipio IV
34,4733194,12.5476,41.9156,C4,2020-01-10,Sereno,Municipio IV
35,4733194,12.5476,41.9156,C4,2020-01-10,Sereno,Municipio IV
36,4733195,12.5582,41.8987,C2,2020-01-10,Sereno,Municipio V
37,4733195,12.5582,41.8987,C2,2020-01-10,Sereno,Municipio V
38,4733195,12.5582,41.8987,C2,2020-01-10,Sereno,Municipio V
39,4733203,12.5108,41.8857,C1,2020-01-10,Sereno,Municipio VII
40,4733203,12.5108,41.8857,C1,2020-01-10,Sereno,Municipio VII
41,4733216,12.4863,41.9087,C7,2020-01-10,Sereno,Municipio II
42,4733216,12.4863,41.9087,C7,2020-01-10,Sereno,Municipio II
43,4733216,12.4863,41.9087,C7,2020-01-10,Sereno,Municipio II
44,4733218,12.5169,41.8794,C8,2020-01-10,,Municipio VII
45,4733218,12.5169,41.8794,C8,2020-01-10,,Municipio VII
46,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
47,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
48,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
49,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
50,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
51,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
52,4733221,12.6252,41.8274,C4,2020-01-10,Sereno,Municipio VII
53,4733228,12.5504,41.8758,,2020-01-10,Sereno,Municipio V
54,4733228,12.5504,41.8758,,2020-01-10,Sereno,Municipio V
55,4733228,12.5504,41.8758,,2020-01-10,Sereno,Municipio V
56,4733228,12.5504,41.8758,,2020-01-10,Sereno,Municipio V
57,4733231,12.31,41.7759,C3,2020-01-10,Sereno,Municipio X
58,4733231,12.31,41.7759,C3,2020-01-10,Sereno,Municipio X
59,4733233,12.4106,41.9592,C2,2020-01-10,Sereno,Municipio XIV
60,4733233,12.4106,41.9592,C2,2020-01-10,Sereno,Municipio XIV
61,4733233,12.4106,41.9592,C2,2020-01-10,Sereno,Municipio XIV
62,4733256,12.5372,41.9435,C5,2020-01-10,Sereno,Municipio III
63,4733271,12.5166,41.9384,,2020-01-10,Sereno,Municipio II
64,4733271,12.5166,41.9384,,2020-01-10,Sereno,Municipio II
65,4733271,12.5166,41.9384,,2020-01-10,Sereno,Municipio II
66,4733271,12.5166,41.9384,,2020-01-10,Sereno,Municipio II
67,4733281,12.4713,41.835,C8,2020-01-10,Sereno,Municipio IX
68,4733281,12.4713,41.835,C8,2020-01-10,Sereno,Municipio IX
69,4733281,12.4713,41.835,C8,2020-01-10,Sereno,Municipio IX
70,4733306,12.3486,41.7313,C5,2020-01-10,Sereno,Municipio X
71,4733306,12.3486,41.7313,C5,2020-01-10,Sereno,Municipio X
72,4733312,12.4198,41.944,C2,2020-01-10,Sereno,Municipio XIV
73,4733312,12.4198,41.944,C2,2020-01-10,Sereno,Municipio XIV
74,4733334,12.4552,41.9947,C8,2020-01-10,Sereno,Municipio XV
75,4733334,12.4552,41.9947,C8,2020-01-10,Sereno,Municipio XV
76,4733334,12.4552,41.9947,C8,2020-01-10,Sereno,Municipio XV
77,4733336,12.4901,41.8835,C2,2020-01-10,Sereno,Municipio I
78,4733336,12.4901,41.8835,C2,2020-01-10,Sereno,Municipio I
79,4733336,12.4901,41.8835,C2,2020-01-10,Sereno,Municipio I
80,4733336,12.4901,41.8835,C2,2020-01-10,Sereno,Municipio I
81,4733336,12.4901,41.8835,C2,2020-01-10,Sereno,Municipio I
82,4733353,12.4773,41.95,,2020-01-10,Sereno,Municipio XV
