Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
5219440,12.4368,41.8051,2021-01-01 11:20:00,Municipio IX
5219440,12.4368,41.8051,2021-01-01 11:20:00,Municipio IX
5219444,12.4522,41.794,2021-01-01 13:20:00,Municipio IX
5219623,12.4587,41.8615,2021-01-01 21:50:00,Municipio XI
5219623,12.4587,41.8615,2021-01-01 21:50:00,Municipio XI
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219646,12.5289,41.9321,2021-01-01 02:40:00,Municipio III
5219677,12.5117,41.9746,2021-01-01 12:25:00,Municipio III
5219677,12.5117,41.9746,2021-01-01 12:25:00,Municipio III
5219677,12.5117,41.9746,2021-01-01 12:25:00,Municipio III
5219682,12.4369,41.8447,2021-01-01 17:40:00,Municipio XI
5219682,12.4369,41.8447,2021-01-01 17:40:00,Municipio XI
5219682,12.4369,41.8447,2021-01-01 17:40:00,Municipio XI
5219693,12.5248,41.946,2021-01-01 16:20:00,Municipio III
5219693,12.5248,41.946,2021-01-01 16:20:00,Municipio III
5219697,12.4019,41.8922,2021-01-02 08:10:00,Municipio XIII
5219711,12.3575,41.7827,2021-01-02 07:10:00,Municipio X
5219756,12.4937,41.8891,2021-01-01 20:15:00,Municipio I
5219756,12.4937,41.8891,2021-01-01 20:15:00,Municipio I
5219756,12.4937,41.8891,2021-01-01 20:15:00,Municipio I
5219817,12.4491,41.9413,2021-01-01 18:10:00,Municipio XV
5219893,12.5388,41.8815,2021-01-01 01:45:00,Municipio V
5219893,12.5388,41.8815,2021-01-01 01:45:00,Municipio V
5219893,12.5388,41.8815,2021-01-01 01:45:00,Municipio V
5219895,12.6067,41.8226,2021-01-02 10:00:00,Municipio VII
5219895,12.6067,41.8226,2021-01-02 10:00:00,Municipio VII
5219895,12.6067,41.8226,2021-01-02 10:00:00,Municipio VII
5219939,12.3914,41.8847,2021-01-02 10:10:00,Municipio XIII
5219939,12.3914,41.8847,2021-01-02 10:10:00,Municipio XIII
5220010,12.4088,41.9175,2021-01-02 12:46:00,Municipio XIV
5220010,12.4088,41.9175,2021-01-02 12:46:00,Municipio XIV
5220010,12.4088,41.9175,2021-01-02 12:46:00,Municipio XIV
5220010,12.4088,41.9175,2021-01-02 12:46:00,Municipio XIV
5220097,12.4887,41.8468,2021-01-01 13:45:00,Municipio VIII
5220097,12.4887,41.8468,2021-01-01 13:45:00,Municipio VIII
5220136,12.5415,41.8769,2021-01-02 15:10:00,Municipio V
5220136,12.5415,41.8769,2021-01-02 15:10:00,Municipio V
5220328,12.5563,41.8365,2021-01-02 16:20:00,Municipio VII
5220328,12.5563,41.8365,2021-01-02 16:20:00,Municipio VII
5220328,12.5563,41.8365,2021-01-02 16:20:00,Municipio VII
5220374,12.4848,41.9567,2021-01-02 16:00:00,Municipio XV
5220391,12.4718,41.9419,2021-01-02 18:30:00,Municipio XV
5220410,12.4849,41.9573,2021-01-02 19:10:00,Municipio XV
5220410,12.4849,41.9573,2021-01-02 19:10:00,Municipio XV
5220410,12.4849,41.9573,2021-01-02 19:10:00,Municipio XV
5220410,12.4849,41.9573,2021-01-02 19:10:00,Municipio XV
5220477,12.5306,41.8664,2021-01-01 11:15:00,Municipio VII
5220477,12.5306,41.8664,2021-01-01 11:15:00,Municipio VII
5220490,12.524,41.8814,,Municipio VII
5220490,12.524,41.8814,,Municipio VII
5220538,12.3702,41.7787,2021-01-03 10:10:00,Municipio X
5220538,12.3702,41.7787,2021-01-03 10:10:00,Municipio X
5220538,12.3702,41.7787,2021-01-03 10:10:00,Municipio X
5220570,12.4913,41.8571,2021-01-02 20:40:00,Municipio VIII
