,Protocollo,Longitude,Latitude,NaturaIncidente,DataOraIncidente,CondizioneAtmosferica,Municipio
34730,4413518,12.38899,41.94215,C4,2019-06-10,Sereno,Municipio XIV
35024,4415831,12.55734,41.90459,C1,2019-06-10,Sereno,Municipio IV
37005,4430194,12.55325,41.88148,C5,2019-06-20,Sereno,Municipio V
38525,4441402,12.57536,41.84843,C2,2019-07-01,Sereno,Municipio VII
39701,4448669,12.37959,41.93252,C2,2019-07-01,Sereno,Municipio XIV
40750,4454793,12.474,41.8399,C4,2019-07-10,Sereno,Municipio IX
41641,4461861,12.5282,41.9184,C5,2019-07-10,Sereno,Municipio IV
41646,4461887,12.5728,41.9579,C2,2019-07-10,Sereno,Municipio III
42286,4466096,12.4867,41.9395,C5,2019-07-10,Sereno,Municipio II
42521,4467898,12.4663,41.9435,C3,2019-07-20,Sereno,Municipio XV
42583,4468498,12.5094,41.8853,C1,2019-07-20,Sereno,Municipio VII
42929,4471042,12.3891,41.9139,C5,2019-07-20,Sereno,Municipio XIII
44029,4479513,12.6105,41.8206,C5,2019-07-20,Sereno,Municipio VII
44636,4483476,12.5259,41.9765,C5,2019-08-01,Sereno,Municipio III
45655,4490585,12.448,41.9425,C8,2019-08-01,Sereno,Municipio XV
46576,4496950,12.3645,41.7864,C8,2019-08-01,Sereno,Municipio X
47661,4504823,12.4632,41.8403,C1,2019-08-10,Sereno,Municipio IX
49319,4515827,12.4571,41.9573,C1,2019-08-20,Sereno,Municipio XV
49458,4517134,12.3081,41.7541,C8,2019-08-10,Sereno,Municipio X
49820,4521169,12.5447,41.8648,C5,2019-09-01,Sereno,Municipio V
50607,4527221,12.4538,41.9301,C5,2019-09-01,Sereno,Municipio I
51709,4534975,12.2645,41.9074,C4,2019-09-10,Sereno,Municipio XIII
52431,4540639,12.425,41.924,C8,2019-09-10,Sereno,Municipio XIV
53172,4546767,12.5665,41.8998,C1,2019-09-20,Sereno,Municipio V
53174,4546922,12.6832,41.8626,C5,2019-09-20,Sereno,Municipio VI
53321,4547390,12.527,41.9196,C2,2019-09-20,Sereno,Municipio IV
55039,4560859,12.4536,41.8089,C7,2019-10-01,Sereno,Municipio IX
56757,4574713,12.2826,41.7276,C4,2019-10-01,Sereno,Municipio X
56768,4574876,12.3588,41.7766,C1,2019-10-01,Sereno,Municipio X
57196,4577326,12.5327,41.9452,C1,2019-10-01,Sereno,Municipio III
57693,4581491,12.371,41.9903,C2,2019-10-10,Nuvoloso,Municipio XIV
58151,4585432,12.4536,41.8089,C7,2019-10-10,Sereno,Municipio IX
59904,4599331,12.6743,41.864,C5,2019-10-20,Sereno,Municipio VI
59944,4599775,12.6253,41.9,C2,2019-10-20,Sereno,Municipio VI
59945,4599775,12.6253,41.9,C2,2019-10-20,Sereno,Municipio VI
63464,4625142,12.4132,41.9586,C1,2019-11-01,Sereno,Municipio XIV
66532,4647603,12.4901,41.8882,C5,2019-11-20,Sereno,Municipio I
67339,4651123,12.501,41.8019,C2,2019-11-20,Nuvoloso,Municipio IX
67490,4652464,12.2653,41.7454,C1,2019-11-20,Nuvoloso,Municipio X
67601,4652927,12.6024,41.841,C8,2019-11-20,Nuvoloso,Municipio VII
69324,4666217,12.3753,42.0286,C5,2019-11-10,Pioggia in atto,Municipio XV
69325,4666217,12.3753,42.0286,C5,2019-11-10,Pioggia in atto,Municipio XV
71194,4680044,12.4773,41.8856,C5,2019-12-01,Pioggia in atto,Municipio I
72874,4692406,12.4077,41.8957,C1,2019-12-10,Sereno,Municipio XIII
73502,4698323,12.6371,41.9444,C1,2019-12-10,Sereno,Municipio IV
73811,4699762,12.5594,41.8948,C1,2019-12-10,Sereno,Municipio V
73853,4700012,12.4536,41.8089,C4,2019-12-10,Sereno,Municipio IX
74367,4703210,12.3048,41.7607,C5,2019-12-20,Sereno,Municipio X
76782,4718159,12.3841,41.915,C7,2020-01-01,Nuvoloso,Municipio XIII
77043,4720789,12.4706,41.9417,C1,2020-01-01,Nuvoloso,Municipio XV
77062,4720944,12.4846,41.8756,C2,2020-01-01,Pioggia in atto,Municipio I
79009,4731246,12.496,41.9036,C2,2020-01-01,Sereno,Municipio I
79257,4749146,12.5946,41.9331,C5,2020-01-01,Nuvoloso,Municipio IV
79258,4749154,12.5525,41.9139,C1,2020-01-01,Sereno,Municipio IV
