,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
11275,Autovettura,2.0,0,0,0,0.0,41.8085,12.5303,1.0,1,1
15376,Motociclo,1.0,0,0,0,0.0,41.9159,12.3685,1.0,2,1
15419,Motociclo,0.0,0,1,0,0.0,41.8486,12.5834,1.0,2,0
15632,Autovettura,0.0,0,1,0,0.0,41.915,12.4669,1.0,1,1
15804,Autovettura,0.0,0,1,0,0.0,41.9007,12.4496,1.0,1,1
15934,Autovettura,0.0,0,1,0,0.0,41.9337,12.4351,2.0,2,1
15951,Autovettura,0.0,0,1,0,0.0,42.0132,12.3653,2.0,2,1
15963,Autovettura,0.0,0,1,0,0.0,41.7858,12.4115,3.0,1,1
15989,Autovettura,1.0,0,0,0,0.0,41.7834,12.5691,2.0,1,0
15990,Autocarro,0.0,0,2,0,0.0,41.9616,12.4505,2.0,2,1
15991,Autovettura,0.0,0,2,0,0.0,41.9616,12.4505,2.0,2,1
16008,Motociclo,1.0,0,0,0,0.0,41.9869,12.4921,2.0,1,0
16059,Autovettura,0.0,0,1,0,0.0,,,1.0,1,0
16075,Autovettura,0.0,0,1,0,0.0,41.9577,12.5572,2.0,2,1
16103,Motociclo,0.0,0,1,0,0.0,41.9107,12.4817,2.0,2,0
16113,Autovettura,1.0,0,0,0,0.0,41.9646,12.6108,2.0,1,1
16139,Autovettura,0.0,0,1,0,0.0,41.9893,12.4992,1.0,1,0
16165,Autovettura,1.0,0,0,0,0.0,41.9149,12.3847,2.0,2,0
16239,Autovettura,0.0,0,1,0,0.0,41.8521,12.3439,1.0,1,0
16262,Autovettura,1.0,0,0,0,0.0,41.7867,12.5051,2.0,1,0
16312,Motociclo,1.0,0,0,0,0.0,41.8939,12.3956,2.0,2,1
16343,Autovettura,1.0,0,1,0,0.0,41.9299,12.5112,1.0,3,1
16344,Motociclo,1.0,0,1,0,0.0,41.9299,12.5112,1.0,3,1
16596,Autocarro,0.0,0,1,0,0.0,41.7871,12.5063,2.0,1,1
16765,Autovettura,3.0,0,1,0,0.0,41.8353,12.5412,5.0,2,0
16766,Autovettura,3.0,0,1,0,0.0,41.8353,12.5412,5.0,2,0
16767,Autovettura,3.0,0,1,0,0.0,41.8353,12.5412,5.0,2,0
16768,Autovettura,3.0,0,1,0,0.0,41.8353,12.5412,5.0,2,0
15350,Autovettura,0.0,0,1,0,0.0,41.9404,12.4411,1.0,1,1
15285,Autovettura,0.0,0,1,0,0.0,41.7908,12.4182,1.0,2,1
15271,Autovettura,0.0,0,0,0,0.0,41.9406,12.6333,1.0,2,1
15210,Autovettura,1.0,0,1,0,0.0,41.8515,12.4495,1.0,1,0
11277,Autovettura,2.0,0,0,0,0.0,41.8085,12.5303,1.0,1,1
11334,Autovettura,0.0,0,1,0,0.0,42.0263,12.5994,1.0,1,1
11583,Motociclo,0.0,0,2,0,0.0,41.9251,12.4705,1.0,2,1
11584,Autovettura,0.0,0,2,0,0.0,41.9251,12.4705,1.0,2,1
11672,Autovettura,0.0,0,1,0,0.0,41.7165,12.4526,1.0,2,0
11726,Autovettura,1.0,0,1,0,0.0,41.8546,12.612,1.0,2,1
11727,Autovettura,1.0,0,1,0,0.0,41.8546,12.612,1.0,2,1
12295,Autovettura,1.0,0,2,0,0.0,41.8902,12.435,2.0,1,0
12296,Autovettura,1.0,0,2,0,0.0,41.8902,12.435,2.0,1,0
12297,Autovettura,1.0,0,2,0,0.0,41.8902,12.435,2.0,1,0
12664,Motociclo,1.0,0,0,0,0.0,41.8768,12.5164,1.0,2,0
13107,Motociclo,1.0,0,0,0,0.0,41.86,12.5516,4.0,2,0
13230,Motociclo,1.0,0,1,0,0.0,41.9143,12.5522,4.0,2,0
16778,Autovettura,0.0,0,5,0,0.0,41.9453,12.4865,2.0,1,1
13231,Motociclo,1.0,0,1,0,0.0,41.9143,12.5522,4.0,2,0
13447,Motociclo,1.0,0,0,0,0.0,41.8501,12.4849,1.0,2,0
13605,Autovettura,0.0,0,2,0,0.0,41.8557,12.6167,1.0,2,0
13606,Autovettura,0.0,0,2,0,0.0,41.8557,12.6167,1.0,2,0
13645,Autovettura,0.0,0,1,0,0.0,41.8933,12.6155,1.0,1,0
13736,Motociclo,2.0,0,0,0,0.0,,,1.0,1,1
13737,Motociclo,2.0,0,0,0,0.0,,,1.0,1,1
13835,Autovettura,1.0,0,0,0,0.0,41.8877,12.4599,1.0,2,1
14188,Motociclo,1.0,0,0,0,0.0,41.9149,12.3847,1.0,2,0
14522,Autovettura,0.0,0,1,0,0.0,41.7235,12.4576,1.0,2,1
14611,Motociclo,1.0,0,0,0,0.0,41.8211,12.31,1.0,2,0
15027,Autovettura,2.0,0,0,0,0.0,41.8317,12.4196,1.0,1,0
15028,Autovettura,2.0,0,0,0,0.0,41.8317,12.4196,1.0,1,0
15209,Autovettura,1.0,0,1,0,0.0,41.8515,12.4495,1.0,1,0
13359,Autovettura,0.0,0,0,0,0.0,42.0,12.4865,1.0,1,1
11276,Autovettura,2.0,0,0,0,0.0,41.8085,12.5303,1.0,1,1
16779,Autovettura,0.0,0,5,0,0.0,41.9453,12.4865,2.0,1,1
16784,Autovettura,0.0,0,1,0,0.0,41.8103,12.4856,2.0,2,0
19437,Autovettura,0.0,0,1,0,0.0,41.9545,12.4638,1.0,1,0
19752,Motociclo,1.0,0,0,0,0.0,42.0282,12.3754,1.0,2,0
20117,Autovettura,1.0,0,2,0,0.0,42.0128,12.503,1.0,2,1
20118,Autovettura,1.0,0,2,0,0.0,42.0128,12.503,1.0,2,1
20119,Motociclo,1.0,0,2,0,0.0,42.0128,12.503,1.0,2,1
20833,Autovettura,1.0,0,0,0,0.0,41.7858,12.4115,1.0,1,1
20880,Autovettura,0.0,0,1,0,0.0,41.8109,12.4229,1.0,2,0
21242,Motociclo,1.0,0,0,0,0.0,41.9404,12.4411,2.0,2,1
21534,Autovettura,1.0,0,1,0,0.0,41.893,12.4811,1.0,2,1
21535,Motociclo,1.0,0,1,0,0.0,41.893,12.4811,1.0,2,1
21634,Autovettura,1.0,0,1,0,0.0,41.801,12.5052,1.0,1,1
21635,Autovettura,1.0,0,1,0,0.0,41.801,12.5052,1.0,1,1
21642,Autovettura,0.0,0,1,0,0.0,41.7111,12.5512,1.0,1,1
21760,Autovettura,3.0,0,0,0,0.0,41.8576,12.2585,1.0,1,0
21761,Autovettura,3.0,0,0,0,0.0,41.8576,12.2585,1.0,1,0
21762,Autovettura,3.0,0,0,0,0.0,41.8576,12.2585,1.0,1,0
21810,Autovettura,0.0,0,1,0,0.0,41.9554,12.5358,1.0,2,1
21917,Autovettura,0.0,0,0,1,0.0,41.8469,12.414,2.0,1,0
21973,Motociclo,1.0,0,0,0,0.0,41.9149,12.3847,1.0,1,0
22030,Motociclo,1.0,0,3,0,0.0,41.9331,12.4263,1.0,2,1
22031,Motociclo,1.0,0,3,0,0.0,41.9331,12.4263,1.0,2,1
22032,Autovettura,1.0,0,3,0,0.0,41.9331,12.4263,1.0,2,1
22033,Autovettura,1.0,0,3,0,0.0,41.9331,12.4263,1.0,2,1
22089,Autovettura,0.0,0,1,0,0.0,41.8357,12.4689,1.0,1,1
22246,Autovettura,2.0,1,0,0,0.0,41.9331,12.3407,1.0,1,0
22248,Autovettura,2.0,1,0,0,0.0,41.9331,12.3407,1.0,1,0
22348,Autovettura,1.0,0,0,0,0.0,41.9293,12.708,1.0,2,0
19243,Autovettura,0.0,0,1,0,0.0,42.0435,12.4859,1.0,1,0
19225,Autovettura,0.0,0,2,0,0.0,41.909,12.5461,1.0,2,0
19224,Motociclo,0.0,0,2,0,0.0,41.909,12.5461,1.0,2,0
19127,Autovettura,1.0,0,1,0,0.0,41.9149,12.3847,1.0,2,0
16819,Motociclo,1.0,0,0,0,0.0,41.8305,12.4507,2.0,1,1
16824,Autovettura,0.0,0,1,0,0.0,41.8107,12.5814,1.0,1,0
17008,Autovettura,0.0,0,1,0,0.0,41.9208,12.564,2.0,1,0
17248,Autovettura,0.0,0,1,0,0.0,41.9243,12.4278,1.0,1,0
17453,Autovettura,1.0,0,0,0,0.0,41.8687,12.5301,1.0,2,0
17539,Motociclo,1.0,0,1,0,0.0,41.8628,12.5723,1.0,3,0
17540,Autovettura,1.0,0,1,0,0.0,41.8628,12.5723,1.0,3,0
17777,Autocarro,0.0,0,2,0,0.0,41.8758,12.5645,1.0,2,0
17778,Autovettura,0.0,0,2,0,0.0,41.8758,12.5645,1.0,2,1
17812,Motociclo,1.0,0,1,0,0.0,41.9277,12.4752,1.0,3,0
17813,Autovettura,1.0,0,1,0,0.0,41.9277,12.4752,1.0,3,0
17830,Motociclo,1.0,0,3,0,0.0,41.9193,12.5129,1.0,2,1
17831,Autovettura,1.0,0,3,0,0.0,41.9193,12.5129,1.0,2,1
16780,Autovettura,0.0,0,5,0,0.0,41.9453,12.4865,2.0,1,1
17832,Autovettura,1.0,0,3,0,0.0,41.9193,12.5129,1.0,2,1
17990,Motociclo,1.0,0,1,0,0.0,41.9119,12.3511,1.0,2,0
17991,Autovettura,1.0,0,1,0,0.0,41.9119,12.3511,1.0,2,0
18059,Autovettura,0.0,0,2,0,0.0,41.9873,12.5115,1.0,2,0
18060,Motociclo,0.0,0,2,0,0.0,41.9873,12.5115,1.0,2,1
18360,Motociclo,1.0,0,1,0,0.0,41.9655,12.4433,2.0,2,1
18361,Motociclo,1.0,0,1,0,0.0,41.9655,12.4433,2.0,2,0
18540,Autovettura,0.0,0,1,0,0.0,41.9273,12.6672,1.0,1,0
18665,Autovettura,1.0,0,0,0,0.0,41.9224,12.5061,1.0,3,0
18710,Autovettura,0.0,0,1,0,0.0,41.718,12.5878,1.0,1,0
18739,Autovettura,1.0,0,1,0,0.0,41.9457,12.4175,1.0,2,0
18740,Motociclo,1.0,0,1,0,0.0,41.9457,12.4175,1.0,2,0
19045,Autovettura,1.0,0,0,0,0.0,41.9011,12.3435,1.0,1,0
