,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
11388,Autovettura,0.0,0,2,0,0.0,41.7771,12.3382,1.0,2,0,1
15758,Autovettura,0.0,0,3,0,0.0,41.8691,12.6743,1.0,2,0,1
15757,Autovettura,0.0,0,3,0,0.0,41.8691,12.6743,1.0,2,0,1
15749,Autovettura,0.0,0,1,0,0.0,41.7666,12.3749,1.0,1,1,1
15748,Autovettura,0.0,0,1,0,0.0,41.7666,12.3749,1.0,1,1,1
15735,Autovettura,0.0,0,1,0,0.0,41.7599,12.3628,1.0,2,1,1
15734,Autovettura,0.0,0,1,0,0.0,41.7599,12.3628,1.0,2,0,1
15733,Autovettura,0.0,0,1,0,0.0,41.8747,12.6193,1.0,1,1,1
15732,Autovettura,0.0,0,1,0,0.0,41.8747,12.6193,1.0,1,1,1
15706,Autovettura,0.0,0,1,0,0.0,41.8637,12.5581,1.0,2,0,1
15705,Autovettura,0.0,0,1,0,0.0,41.8637,12.5581,1.0,2,1,1
15695,Autovettura,0.0,0,1,0,0.0,41.8638,12.5582,1.0,2,0,1
15694,Autovettura,0.0,0,1,0,0.0,41.8638,12.5582,1.0,2,1,1
15661,Autocarro,0.0,0,1,0,0.0,41.9227,12.4781,1.0,2,1,1
15660,Autocarro,0.0,0,1,0,0.0,41.9227,12.4781,1.0,2,0,1
15759,Autovettura,0.0,0,3,0,0.0,41.8691,12.6743,1.0,2,0,1
15659,Autovettura,0.0,0,1,0,0.0,41.9246,12.4708,1.0,2,1,1
15648,Autovettura,0.0,0,2,0,0.0,41.8935,12.4651,1.0,1,0,1
15647,Autovettura,0.0,0,2,0,0.0,41.8935,12.4651,1.0,1,0,1
15595,Autocarro,0.0,0,1,0,0.0,41.9104,12.4568,1.0,1,1,1
15594,Autovettura,0.0,0,1,0,0.0,41.9104,12.4568,1.0,1,1,1
15592,Autovettura,0.0,0,0,0,0.0,41.9439,12.3762,1.0,1,1,1
15591,Autovettura,0.0,0,0,0,0.0,41.9439,12.3762,1.0,1,1,1
15529,Motociclo,1.0,0,2,0,0.0,41.9063,12.5521,1.0,1,0,1
