,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
9835,Autovettura,1,0,0,0,0.0,41.9341,12.6364,3,1,0
12562,Autocarro,1,0,0,0,0.0,41.9058,12.6108,1,1,0
12828,Autovettura,0,0,2,0,0.0,41.7917,12.5356,1,2,1
12829,Autovettura,0,0,2,0,0.0,41.7917,12.5356,1,2,1
13045,Autovettura,0,0,1,0,0.0,41.9296,12.4865,1,2,1
13786,Autocarro,0,0,1,0,0.0,41.9314,12.6953,2,1,0
13820,Autovettura,0,0,2,0,0.0,41.8089,12.4536,2,1,1
13821,Autovettura,0,0,2,0,0.0,41.8089,12.4536,2,1,1
12441,Autovettura,0,0,1,0,0.0,41.9744,12.4282,1,2,0
13834,Autovettura,0,0,1,0,0.0,41.8431,12.4712,1,2,1
14004,Autovettura,0,0,1,0,0.0,41.9404,12.4411,2,2,1
14005,Autovettura,1,0,0,0,0.0,41.9971,12.3745,2,1,0
14055,Autovettura,0,0,0,0,0.0,41.8852,12.3834,3,2,1
14094,Autovettura,0,0,2,0,0.0,41.9107,12.4817,2,2,1
14095,Autovettura,0,0,2,0,0.0,41.9107,12.4817,2,2,0
14099,Autovettura,0,0,1,0,0.0,41.9306,12.4535,2,2,1
14150,Autovettura,1,0,0,0,0.0,42.038,12.4847,2,1,0
13953,Motociclo,1,0,0,0,0.0,41.8991,12.4425,2,1,1
12260,Autovettura,0,0,1,0,0.0,41.8367,12.4653,1,1,1
12257,Motociclo,1,0,0,0,0.0,41.8242,12.4855,1,1,1
11984,Motociclo,1,0,0,0,0.0,41.9086,12.5339,1,2,0
10276,Autovettura,1,0,0,0,0.0,41.7871,12.4612,1,1,1
10331,Motociclo,1,0,2,0,0.0,41.9113,12.4002,1,2,0
10332,Autovettura,1,0,2,0,0.0,41.9113,12.4002,1,2,0
10333,Autovettura,1,0,2,0,0.0,41.9113,12.4002,1,2,0
10547,Motociclo,1,0,0,0,0.0,41.9463,12.5236,1,2,0
10628,Autovettura,1,0,0,0,0.0,41.9132,12.4832,1,2,0
11199,Autovettura,0,0,1,0,0.0,41.8894,12.6992,1,2,0
11242,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,0
11243,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,0
11244,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,0
11245,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,1
11246,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,0
11247,Autovettura,4,0,2,0,0.0,41.8603,12.5921,1,2,0
11377,Motociclo,2,0,0,0,0.0,41.8943,12.416,1,1,0
11378,Motociclo,2,0,0,0,0.0,41.8943,12.416,1,1,0
11440,Autovettura,1,0,0,0,0.0,41.8469,12.414,1,1,1
11465,Autovettura,0,0,1,0,0.0,,,1,1,0
14151,Autovettura,0,0,1,0,0.0,41.9506,12.4843,2,2,0
14281,Autocarro,0,0,1,0,0.0,41.9505,12.4847,2,2,0
14300,Autovettura,1,0,0,0,0.0,41.9436,12.478,2,1,0
14306,Autovettura,0,0,2,0,0.0,41.9505,12.4847,2,2,0
15819,Motociclo,1,0,1,0,0.0,41.9216,12.3755,1,1,0
15820,Autovettura,1,0,1,0,0.0,41.9216,12.3755,1,1,0
16234,Autocarro,0,0,1,0,0.0,41.9342,12.3394,1,1,1
16274,Autovettura,1,0,0,0,0.0,41.7941,12.4522,3,1,0
16523,Autovettura,0,0,1,0,0.0,41.8566,12.5779,1,1,0
16581,Autovettura,0,0,1,0,0.0,41.9343,12.3286,1,1,0
16936,Motociclo,1,0,1,0,0.0,41.9034,12.4152,1,3,1
16937,Motociclo,1,0,1,0,0.0,41.9034,12.4152,1,3,1
17053,Autovettura,0,0,2,0,0.0,41.9372,12.4605,1,2,1
17054,Autovettura,0,0,2,0,0.0,41.9372,12.4605,1,2,1
17133,Motociclo,1,0,0,0,0.0,,,1,1,1
17289,Autovettura,0,0,1,0,0.0,41.8469,12.414,1,1,0
17741,Autovettura,0,0,1,0,0.0,41.9049,12.6101,3,1,1
17788,Motociclo,1,0,0,0,0.0,41.9468,12.4585,1,1,1
18088,Autovettura,1,0,0,0,0.0,,,3,2,0
18208,Autovettura,1,0,0,0,0.0,41.6876,12.3735,2,2,0
