,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
11405,Autovettura,1.0,0,1,0,0.0,41.9339,12.4932,1.0,2,1,1
15825,Autocarro,1.0,0,1,0,0.0,41.8608,12.5659,2.0,2,0,1
15824,Autovettura,1.0,0,1,0,0.0,41.8608,12.5659,2.0,2,1,1
15800,Autovettura,1.0,0,2,0,0.0,41.8973,12.512,1.0,2,0,1
15799,Autovettura,1.0,0,2,0,0.0,41.8973,12.512,1.0,2,1,1
15798,Autovettura,1.0,0,2,0,0.0,41.8973,12.512,1.0,2,1,1
15772,Autovettura,1.0,0,1,0,0.0,41.921,12.3813,1.0,2,0,1
15771,Autovettura,1.0,0,1,0,0.0,41.921,12.3813,1.0,2,1,1
15678,Autovettura,1.0,0,1,0,0.0,41.8738,12.5104,1.0,2,0,1
15865,Autovettura,1.0,0,1,0,0.0,41.8497,12.4602,1.0,1,1,1
15677,Autovettura,1.0,0,1,0,0.0,41.8738,12.5104,1.0,2,1,1
15673,Autovettura,1.0,0,1,0,0.0,41.8899,12.469,1.0,1,1,1
15657,Autovettura,0.0,0,2,0,0.0,41.8674,12.4414,1.0,2,0,1
15656,Autovettura,0.0,0,2,0,0.0,41.8674,12.4414,1.0,2,1,1
15609,Autovettura,1.0,0,1,0,0.0,41.7399,12.2846,1.0,2,0,1
15608,Autovettura,1.0,0,1,0,0.0,41.7399,12.2846,1.0,2,1,1
15597,Autovettura,1.0,0,0,0,0.0,41.7384,12.2634,1.0,1,1,1
15596,Autovettura,1.0,0,0,0,0.0,41.7384,12.2634,1.0,1,1,1
15574,Autovettura,1.0,0,1,0,0.0,41.9191,12.5093,1.0,2,1,1
15674,Autovettura,1.0,0,1,0,0.0,41.8899,12.469,1.0,1,1,1
15866,Autovettura,1.0,0,1,0,0.0,41.8497,12.4602,1.0,1,0,1
15969,Autovettura,1.0,0,1,0,0.0,41.9283,12.3592,1.0,2,1,1
15970,Autovettura,1.0,0,1,0,0.0,41.9283,12.3592,1.0,2,0,1
16268,Autovettura,1.0,0,1,0,0.0,41.8967,12.5587,2.0,2,0,1
16267,Autovettura,1.0,0,1,0,0.0,41.8967,12.5587,2.0,2,1,1
16244,Autovettura,1.0,0,0,0,0.0,41.9447,12.5178,2.0,2,1,1
16243,Autovettura,1.0,0,0,0,0.0,41.9447,12.5178,2.0,2,1,1
16218,Autovettura,0.0,0,2,1,0.0,41.8847,12.5083,1.0,1,0,1
16217,Autovettura,0.0,0,2,1,0.0,41.8847,12.5083,1.0,1,0,1
16216,Autovettura,0.0,0,2,1,0.0,41.8847,12.5083,1.0,1,1,1
16177,Autovettura,1.0,0,1,0,0.0,41.9291,12.4272,2.0,2,1,1
