,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
8920,Autovettura,0,0,6,0,0.0,41.9579,12.4125,1,2,1
11652,Autovettura,1,0,3,0,0.0,41.8791,12.4332,1,2,0
11653,Motociclo,1,0,3,0,0.0,41.8791,12.4332,1,2,0
11654,Motociclo,1,0,3,0,0.0,41.8791,12.4332,1,2,0
11701,Autovettura,0,0,2,0,0.0,41.9481,12.6015,1,2,0
11702,Autovettura,0,0,2,0,0.0,41.9481,12.6015,1,2,0
11705,Autovettura,0,0,4,0,0.0,41.8655,12.4968,1,2,0
11706,Autovettura,0,0,4,0,0.0,41.8655,12.4968,1,2,0
11707,Autovettura,0,0,4,0,0.0,41.8655,12.4968,1,2,0
11708,Autovettura,0,0,4,0,0.0,41.8655,12.4968,1,2,1
11717,Autocarro,0,0,3,0,0.0,41.8488,12.6073,1,2,0
11718,Autovettura,0,0,3,0,0.0,41.8488,12.6073,1,2,0
11719,Autovettura,0,0,3,0,0.0,41.8488,12.6073,1,2,0
11720,Autovettura,0,0,2,0,0.0,41.8765,12.5676,1,2,0
11721,Autocarro,0,0,2,0,0.0,41.8765,12.5676,1,2,0
11722,Autovettura,0,0,2,0,0.0,41.8765,12.5676,1,2,1
11736,Autovettura,1,0,2,0,0.0,41.84,12.6239,1,2,0
11737,Autovettura,1,0,2,0,0.0,41.84,12.6239,1,2,0
11738,Autovettura,1,0,2,0,0.0,41.84,12.6239,1,2,0
11779,Autovettura,0,0,2,0,0.0,41.8965,12.432,1,2,0
11780,Autovettura,0,0,2,0,0.0,41.8965,12.432,1,2,1
11801,Autovettura,0,0,4,0,0.0,41.8803,12.4836,1,1,0
11802,Autovettura,0,0,4,0,0.0,41.8803,12.4836,1,1,0
11803,Autovettura,0,0,4,0,0.0,41.8803,12.4836,1,1,1
11651,Autovettura,1,0,3,0,0.0,41.8791,12.4332,1,2,0
11804,Autovettura,0,0,4,0,0.0,41.8803,12.4836,1,1,1
11643,Autovettura,0,0,2,0,0.0,41.8749,12.4675,1,2,1
