,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
8858,Autovettura,2,0,2,0,0.0,41.996,12.4847,1,2,0
13173,Autovettura,1,0,2,0,0.0,41.9094,12.5466,2,2,1
13126,Motociclo,1,0,1,0,0.0,41.8924,12.4805,3,2,0
13125,Autovettura,1,0,1,0,0.0,41.8924,12.4805,3,2,1
13066,Autovettura,1,0,1,0,0.0,41.8622,12.5528,1,2,0
13065,Autovettura,1,0,1,0,0.0,41.8622,12.5528,1,2,1
13057,Autovettura,1,0,1,0,0.0,41.8943,12.5577,1,2,1
13174,Autovettura,1,0,2,0,0.0,41.9094,12.5466,2,2,0
13056,Autovettura,1,0,1,0,0.0,41.8943,12.5577,1,2,1
13054,Autovettura,0,0,3,0,0.0,41.8752,12.5205,1,2,0
13053,Autovettura,0,0,3,0,0.0,41.8752,12.5205,1,2,1
13047,Autovettura,0,1,1,0,0.0,41.6994,12.4688,1,2,1
13031,Motociclo,2,0,0,0,0.0,41.9153,12.5237,1,2,0
13030,Autovettura,2,0,0,0,0.0,41.9153,12.5237,1,2,1
13013,Autovettura,1,0,1,0,0.0,41.7692,12.3721,1,2,1
13055,Autovettura,0,0,3,0,0.0,41.8752,12.5205,1,2,0
13012,Autovettura,1,0,1,0,0.0,41.7692,12.3721,1,2,1
13175,Autovettura,1,0,2,0,0.0,41.9094,12.5466,2,2,0
13179,Autovettura,2,0,1,0,0.0,41.9307,12.5626,2,1,1
13317,Autovettura,0,0,2,0,0.0,41.9404,12.5361,1,2,1
13301,Motociclo,1,0,1,0,0.0,41.9241,12.4228,2,2,1
13300,Autovettura,1,0,1,0,0.0,41.9241,12.4228,2,2,1
13288,Autovettura,1,0,1,0,0.0,41.8742,12.5464,2,2,0
13287,Autovettura,1,0,1,0,0.0,41.8742,12.5464,2,2,1
13285,Autovettura,1,0,1,0,0.0,41.8665,12.6279,2,2,0
13178,Autovettura,2,0,1,0,0.0,41.9307,12.5626,2,1,1
13284,Autovettura,1,0,1,0,0.0,41.8665,12.6279,2,2,1
13271,Autovettura,1,0,1,0,0.0,41.883,12.5148,2,3,1
13260,Motociclo,1,0,1,0,0.0,,,2,2,1
13259,Autovettura,1,0,1,0,0.0,,,2,2,1
13257,Autovettura,1,0,1,0,0.0,41.8823,12.506,2,1,0
13256,Autovettura,1,0,1,0,0.0,41.8823,12.506,2,1,1
13180,Autovettura,2,0,1,0,0.0,41.9307,12.5626,2,1,0
13272,Motociclo,1,0,1,0,0.0,41.883,12.5148,2,3,0
13318,Autovettura,0,0,2,0,0.0,41.9404,12.5361,1,2,0
12993,Autocarro,0,1,1,0,0.0,41.9369,12.4237,1,1,1
12989,Autovettura,1,0,1,0,0.0,41.936,12.5151,1,2,0
12411,Autovettura,1,0,3,0,0.0,41.8717,12.5991,1,1,1
12410,Autovettura,1,0,3,0,0.0,41.8717,12.5991,1,1,1
12409,Autovettura,1,0,3,0,0.0,41.8717,12.5991,1,1,1
12408,Autovettura,1,0,3,0,0.0,41.8717,12.5991,1,1,1
12402,Autovettura,1,0,1,0,0.0,41.8804,12.5162,2,1,0
12401,Autovettura,1,0,1,0,0.0,41.8804,12.5162,2,1,1
12575,Autovettura,1,0,0,0,0.0,41.8639,12.6803,1,1,1
12247,Autovettura,1,0,2,0,0.0,,,1,1,1
12245,Autovettura,1,0,2,0,0.0,,,1,1,1
12135,Autovettura,1,0,0,0,0.0,41.9085,12.4744,1,2,1
12134,Autovettura,1,0,0,0,0.0,41.9085,12.4744,1,2,1
12099,Autovettura,1,0,1,0,0.0,41.732,12.2736,1,1,0
12098,Autovettura,1,0,1,0,0.0,41.732,12.2736,1,1,1
12092,Autovettura,0,0,3,0,0.0,41.87,12.4669,1,2,1
12246,Autovettura,1,0,2,0,0.0,,,1,1,1
12992,Autovettura,0,1,1,0,0.0,41.9369,12.4237,1,1,1
12576,Autocarro,1,0,0,0,0.0,41.8639,12.6803,1,1,1
12709,Autovettura,1,0,2,0,0.0,41.898,12.5174,1,1,0
12988,Autovettura,1,0,1,0,0.0,41.936,12.5151,1,2,1
12974,Autovettura,1,0,1,0,0.0,,,1,2,1
12973,Autovettura,1,0,1,0,0.0,,,1,2,1
12942,Motociclo,1,0,1,0,0.0,41.9579,12.5728,1,2,0
12941,Autovettura,1,0,1,0,0.0,41.9579,12.5728,1,2,1
12914,Autovettura,1,0,1,0,0.0,41.9543,12.4758,1,2,0
12708,Autovettura,1,0,2,0,0.0,41.898,12.5174,1,1,1
12913,Autovettura,1,0,1,0,0.0,41.9543,12.4758,1,2,1
12830,Autovettura,0,1,1,0,0.0,,,1,2,1
12821,Autovettura,1,0,1,0,0.0,41.909,12.4575,1,1,1
12820,Autovettura,1,0,1,0,0.0,41.909,12.4575,1,1,1
12777,Autocarro,1,0,1,0,0.0,41.8578,12.4408,1,2,0
12776,Autovettura,1,0,1,0,0.0,41.8578,12.4408,1,2,1
12710,Autovettura,1,0,2,0,0.0,41.898,12.5174,1,1,0
12831,Autovettura,0,1,1,0,0.0,,,1,2,1
12091,Autovettura,0,0,3,0,0.0,41.87,12.4669,1,2,0
13369,Autovettura,2,0,1,0,0.0,41.9409,12.5444,2,2,1
13371,Autovettura,2,0,1,0,0.0,41.9409,12.5444,2,2,0
13735,Autovettura,1,0,1,0,0.0,,,2,3,1
13734,Autovettura,1,0,1,0,0.0,,,2,3,1
13730,Motociclo,1,0,1,0,0.0,41.9061,12.4902,2,2,1
13729,Autovettura,1,0,1,0,0.0,41.9061,12.4902,2,2,1
13728,Autovettura,2,0,1,0,0.0,41.9419,12.4718,1,2,0
13727,Autovettura,2,0,1,0,0.0,41.9419,12.4718,1,2,1
13757,Autovettura,0,1,1,0,0.0,41.844,12.6111,2,2,0
13726,Autovettura,2,0,1,0,0.0,41.9419,12.4718,1,2,1
13686,Autovettura,1,0,1,0,0.0,41.8961,12.4194,2,2,1
13685,Autovettura,1,0,1,0,0.0,41.9241,12.4472,3,1,1
13684,Autovettura,1,0,1,0,0.0,41.9241,12.4472,3,1,1
13680,Autovettura,1,0,1,0,0.0,41.9267,12.4267,1,2,1
13679,Autovettura,1,0,1,0,0.0,41.9267,12.4267,1,2,1
13653,Autovettura,0,0,2,0,0.0,41.9491,12.5299,1,2,0
13687,Motociclo,1,0,1,0,0.0,41.8961,12.4194,2,2,0
13652,Autovettura,0,0,2,0,0.0,41.9491,12.5299,1,2,1
13784,Autovettura,1,0,1,0,0.0,41.8716,12.6537,2,2,1
13898,Autovettura,0,0,3,0,0.0,41.921,12.4105,2,2,1
14022,Autovettura,1,0,2,0,0.0,41.9057,12.459,2,2,1
14021,Autovettura,1,0,2,0,0.0,41.9057,12.459,2,2,1
14020,Autovettura,1,0,2,0,0.0,41.9057,12.459,2,2,1
14019,Autovettura,1,0,1,0,0.0,41.8988,12.4963,2,2,0
14018,Autovettura,1,0,1,0,0.0,41.8988,12.4963,2,2,1
13988,Autovettura,0,0,1,0,0.0,41.8577,12.389,1,1,1
