PC1,PC2,Deceduto,TipoVeicolo,Latitude,Longitude
4.969371940863777,6.859949030044424,1.0,Autovettura,41.9581,12.3605
4.199339263461345,8.892363659928197,1.0,Motociclo,41.9219,12.565
3.6542139714013535,6.701805585529972,1.0,Motociclo,41.9388,12.5042
4.206516332171403,7.159214956294144,1.0,Motociclo,41.9355,12.5828
4.384822552429246,6.547595180158459,1.0,Autovettura,41.8813,12.5732
2.4807254602848077,6.332342841663439,1.0,Autovettura,41.9873,12.5115
3.502102745544592,6.693005551608653,1.0,Autovettura,41.7412,12.3403
2.480725460284832,6.332342841663412,1.0,Motociclo,42.0265,12.5051
2.9498003847745764,6.235596180844423,1.0,Autovettura,41.8274,12.6252
4.189132632174804,4.866946257125132,1.0,Motociclo,41.8851,12.3618
2.9498003847745764,6.235596180844423,1.0,Autovettura,41.8263,12.4987
4.206516332171439,7.159214956293548,1.0,Autovettura,41.885,12.573
3.185139046911678,6.798552246348307,1.0,Motociclo,,
2.163761761651918,6.437889536403063,1.0,Autovettura,41.9096,12.5473
3.306412825290163,5.012356628574969,1.0,Autovettura,41.8673,12.4844
3.1019116106314084,6.244396214765089,1.0,Motociclo,41.9404,12.4411
3.5971815295221155,5.527229743890708,1.0,Motociclo,41.9885,12.4901
3.306412825290163,5.012356628574969,1.0,Motociclo,41.8021,12.6345
2.7160641224219337,6.895298907167294,1.0,Motociclo,41.6876,12.3735
2.397498024004561,5.778186810080195,1.0,Autovettura,41.7378,12.3749
4.206516332171439,7.159214956293548,1.0,Motociclo,41.9183,12.4091
3.502102745544592,6.693005551608653,1.0,Motociclo,41.9106,12.5129
3.502102745544592,6.693005551608653,1.0,Autovettura,41.8842,12.4732
2.163761761651918,6.437889536403063,1.0,Motociclo,41.8257,12.5605
5.176590526248262,13.918419963529526,1.0,Autovettura,41.9031,12.7087
4.071985804708232,13.003601222001068,1.0,Autovettura,41.8916,12.5417
4.384822552429234,6.5475951801588215,1.0,Motociclo,41.9367,12.4609
4.301595116148962,5.993439148575602,1.0,Motociclo,41.9545,12.4638
11.234178283845152,24.99857528814365,1.0,Autovettura,41.7363,12.3456
2.480725460284832,6.332342841663412,1.0,Motociclo,41.9082,12.5043
3.185139046911678,6.798552246348307,1.0,Motociclo,41.8676,12.5524
4.853897476918979,6.4508485193398295,1.0,Autovettura,41.9455,12.4885
4.891943819017191,4.110496869983277,1.0,Autovettura,41.8834,12.5608
3.6542139714014246,6.701805585529317,1.0,Autovettura,41.9379,12.5098
4.384822552429234,6.5475951801588215,1.0,Motociclo,41.999,12.3141
5.444246179787208,4.567906240747505,1.0,Autovettura,41.8909,12.6605
6.796040911161593,4.325749208478682,1.0,Autovettura,41.8678,12.4796
3.6542139714014246,6.701805585529317,1.0,Motociclo,41.9115,12.5522
2.9498003847745764,6.235596180844423,1.0,Autovettura,41.9118,12.7294
3.185139046911678,6.798552246348307,1.0,Autovettura,41.8306,12.5326
2.0948779720753574,6.983245534065616,1.0,Autovettura,41.9224,12.5061
2.0116505357950865,6.429089502482401,1.0,Motociclo,41.9614,12.4878
1.7779142734424433,7.088792228805269,1.0,Motociclo,41.6876,12.3735
2.6328366861416628,6.341142875584077,1.0,Motociclo,41.9559,12.4125
4.941251864111161,13.355463898025645,1.0,Autovettura,41.891,12.5227
2.9498003847745764,6.235596180844423,1.0,Autovettura,41.9403,12.6314
6.705089078095983,11.841984363299227,1.0,Autovettura,41.8855,12.479
4.206516332171439,7.159214956293548,1.0,Autovettura,42.0067,12.313
3.185139046911678,6.798552246348307,1.0,Autovettura,41.8344,12.5937
5.084846404808794,7.269049540747636,1.0,Autovettura,41.785,12.3642
3.502102745544592,6.693005551608653,1.0,Motociclo,,
4.063469119549033,6.908386830802397,1.0,Autovettura,41.9214,12.4859
3.502102745544592,6.693005551608653,1.0,Autovettura,41.9322,12.6983
3.737441407681695,7.255961617112534,1.0,Motociclo,41.8253,12.4447
3.300613510856586,7.207652757052209,1.0,Autovettura,41.772,12.334
2.8637856140314795,7.1593438969918815,1.0,Motociclo,41.9252,12.5219
2.947013050311751,7.713499928575099,1.0,Motociclo,42.4174,13.0816
3.300613510856586,7.207652757052209,1.0,Autovettura,41.9171,12.5432
3.065274848719485,6.6446966915483285,1.0,Autovettura,41.8448,12.4565
2.6328366861416628,6.341142875584077,1.0,Autovettura,41.8641,12.4976
-0.3416289370960304,0.2561108078605537,0.0,Autovettura,41.8522,12.4766
-0.3416289370960304,0.2561108078605537,0.0,Autovettura,41.8522,12.4766
-1.54736447587726,0.03170358487396044,0.0,Autovettura,41.9126,12.5057
-1.54736447587726,0.03170358487396044,0.0,Autovettura,41.9126,12.5057
-1.54736447587726,0.03170358487396044,0.0,Autovettura,41.9126,12.5057
-1.54736447587726,0.03170358487396044,0.0,Autovettura,41.9126,12.5057
1.5856511694785826,0.5683357170471339,0.0,Autovettura,41.8891,12.5202
1.5856511694785826,0.5683357170471339,0.0,Autovettura,41.8891,12.5202
1.5856511694785826,0.5683357170471339,0.0,Autovettura,41.8891,12.5202
1.5286187275992744,-0.6062401245914767,0.0,Autovettura,41.8733,12.5016
0.6475013204990927,0.761829038685109,0.0,Autovettura,41.891,12.5264
0.6475013204990927,0.761829038685109,0.0,Motociclo,41.891,12.5264
2.443585562148552,-0.8967060169206243,0.0,Autovettura,41.8614,12.5681
2.443585562148552,-0.8967060169206243,0.0,Autovettura,41.8614,12.5681
-0.024665238463116426,0.1505641131209005,0.0,Motociclo,41.8514,12.5863
0.6797483481637302,0.6167735178057951,0.0,Autovettura,41.8984,12.4684
0.6797483481637302,0.6167735178057951,0.0,Autovettura,41.8984,12.4684
0.09519895972907705,0.30441966792087993,0.0,Autocarro,41.8971,12.5585
0.09519895972907705,0.30441966792087993,0.0,Autovettura,41.8971,12.5585
-0.4937401629528613,0.2473107739398879,0.0,Autocarro,41.853,12.5583
0.2106734236739854,0.7135201786247826,0.0,Autovettura,41.853,12.5583
1.2116550289663603,-0.5006934298518239,0.0,Autovettura,41.8541,12.4447
1.2116550289663603,-0.5006934298518239,0.0,Autovettura,41.8541,12.4447
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8918,12.5662
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8918,12.5662
-0.9628150874426066,0.3440574347588757,0.0,Autovettura,41.9021,12.4264
-0.9628150874426066,0.3440574347588757,0.0,Autovettura,41.9021,12.4264
-0.9628150874426066,0.3440574347588757,0.0,Motociclo,41.9021,12.4264
1.7962044174010139,-0.18833957996690856,0.0,Motociclo,41.9163,12.4226
0.8580545684215235,0.0051537416710665356,0.0,Autovettura,41.8268,12.479
0.8580545684215235,0.0051537416710665356,0.0,Autovettura,41.8268,12.479
0.8580545684215235,0.0051537416710665356,0.0,Autovettura,41.8268,12.479
0.6227159062844217,-0.5578023238328152,0.0,Autovettura,41.8255,12.4875
1.3271294929112687,-0.09159291914792093,0.0,Autovettura,41.8255,12.4875
0.4121626583619911,0.19887297318122715,0.0,Autocarro,41.8848,12.517
1.1165762449888377,0.6650823778661213,0.0,Autovettura,41.8848,12.517
-0.056912266127754046,0.2956196340002144,0.0,Autovettura,41.8824,12.5155
-0.056912266127754046,0.2956196340002144,0.0,Autovettura,41.8824,12.5155
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.938,12.4426
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.938,12.4426
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.938,12.4426
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.938,12.4426
1.1165762449888377,0.6650823778661213,0.0,Autovettura,,
-0.8107038615857755,0.3528574686795411,0.0,Autovettura,41.9325,12.5846
-0.8107038615857755,0.3528574686795411,0.0,Autovettura,41.9325,12.5846
-0.8107038615857755,0.3528574686795411,0.0,Autovettura,41.9325,12.5846
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8697,12.5683
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8697,12.5683
-0.08009528055796654,0.1986470633090416,0.0,Autovettura,41.8308,12.6206
-0.08009528055796654,0.1986470633090416,0.0,Autovettura,41.8308,12.6206
-0.08009528055796654,0.1986470633090416,0.0,Autovettura,41.8308,12.6206
-0.08009528055796654,0.1986470633090416,0.0,Autovettura,41.8308,12.6206
-0.08009528055796654,0.1986470633090416,0.0,Autovettura,41.8308,12.6206
1.7011256334234914,0.9774362277510364,0.0,Autovettura,41.8872,12.4725
1.7011256334234914,0.9774362277510364,0.0,Autovettura,41.8872,12.4725
-1.9841923727023674,-0.01660527518636574,0.0,Autovettura,41.8404,12.422
-1.9841923727023674,-0.01660527518636574,0.0,Autovettura,41.8404,12.422
-1.9841923727023674,-0.01660527518636574,0.0,Autovettura,41.8404,12.422
-1.9841923727023674,-0.01660527518636574,0.0,Autovettura,41.8404,12.422
1.7011256334234914,0.9774362277510364,0.0,Autocarro,41.8872,12.4726
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8317,12.4196
