,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,DecedutoDopo,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
0,Autovettura,0.0,0,4,0,0.0,0.0,4.0,1.0,0
1,Autovettura,0.0,0,4,0,0.0,0.0,4.0,1.0,0
2,Autovettura,0.0,0,4,0,0.0,0.0,4.0,1.0,0
3,Autovettura,0.0,0,4,0,0.0,0.0,4.0,1.0,0
4,Autovettura,0.0,0,1,0,0.0,0.0,4.0,1.0,1
5,Autovettura,0.0,0,1,0,0.0,0.0,2.0,1.0,0
6,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,0
7,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,0
8,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,0
9,Motociclo,0.0,0,0,0,0,0.0,4.0,1.0,1
10,Autovettura,0.0,0,0,0,0,0.0,4.0,1.0,1
11,Autovettura,0.0,0,1,2,0.0,0.0,4.0,2.0,1
12,Motociclo,0.0,0,1,2,0.0,0.0,4.0,2.0,1
13,Autovettura,0.0,0,1,2,0.0,0.0,4.0,2.0,1
14,Autovettura,0.0,0,0,0,0,0.0,4.0,1.0,1
15,Autovettura,0.0,0,0,0,0.0,0.0,4.0,1.0,1
16,Autovettura,0.0,0,1,0,0.0,0.0,4.0,2.0,0
17,Autovettura,1.0,0,3,0,0.0,0.0,4.0,2.0,0
18,Autovettura,1.0,0,3,0,0.0,0.0,4.0,2.0,0
19,Autovettura,1.0,0,3,0,0.0,0.0,4.0,2.0,0
20,Autovettura,1.0,0,3,0,0.0,0.0,4.0,2.0,0
21,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,0
22,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,1
23,Autovettura,0.0,0,3,0,0.0,0.0,4.0,1.0,0
24,Autocarro,1.0,0,1,0,0.0,0.0,4.0,1.0,0
25,Motociclo,1.0,0,1,0,0.0,0.0,4.0,1.0,0
26,Autovettura,1.0,1,1,0,0.0,0.0,4.0,2.0,0
27,Motociclo,1.0,1,1,0,-1.0,0.0,4.0,2.0,1
28,Autovettura,1.0,1,1,0,0.0,0.0,4.0,2.0,0
