,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
773,Autovettura,0,0,0,0,0.0,42.0365,12.3064,2,2,1
774,Autovettura,1,0,1,0,0.0,41.8673,12.4919,1,2,1
775,Autocarro,1,0,1,0,0.0,41.8673,12.4919,1,2,0
776,Autovettura,1,0,2,0,0.0,42.0271,12.4318,2,2,0
777,Autovettura,1,0,2,0,0.0,42.0271,12.4318,2,2,0
778,Autovettura,1,0,2,0,0.0,42.0271,12.4318,2,2,0
779,Autovettura,0,0,2,0,0.0,,,1,1,1
780,Autovettura,0,0,2,0,0.0,,,1,1,1
781,Autovettura,1,0,0,0,0.0,41.8292,12.5463,2,1,0
782,Motociclo,1,0,0,0,0.0,41.8816,12.5226,1,3,0
783,Autocarro,1,0,0,0,0.0,41.8816,12.5226,1,3,1
784,Motociclo,1,0,3,0,0.0,41.8818,12.4744,1,2,1
785,Autovettura,1,0,3,0,0.0,41.8818,12.4744,1,2,1
786,Autovettura,1,0,3,0,0.0,41.8818,12.4744,1,2,1
787,Autovettura,1,0,3,0,0.0,41.8818,12.4744,1,2,1
788,Autovettura,0,0,1,0,0.0,41.8743,12.5064,2,1,0
789,Autovettura,0,0,1,0,0.0,41.8743,12.5064,2,1,1
790,Autovettura,0,0,2,0,0.0,41.9722,12.4419,3,1,0
791,Autovettura,0,0,2,0,0.0,41.9722,12.4419,3,1,0
792,Autovettura,1,0,0,0,0.0,42.0132,12.3653,2,1,0
793,Autovettura,1,0,1,0,0.0,41.8702,12.536,2,3,0
794,Autovettura,1,0,1,0,0.0,41.8702,12.536,2,3,0
795,Autovettura,1,0,1,0,0.0,41.8702,12.536,2,3,1
796,Autovettura,0,0,1,0,0.0,41.904,12.4941,2,2,1
797,Autovettura,0,0,1,0,0.0,41.904,12.4941,2,2,1
798,Autovettura,0,0,1,0,0.0,41.8728,12.4893,1,2,1
799,Autovettura,1,0,1,0,0.0,41.8241,12.4859,2,2,1
800,Autovettura,1,0,1,0,0.0,41.8241,12.4859,2,2,0
801,Autovettura,0,0,5,0,0.0,41.8757,12.482,1,1,0
802,Autovettura,0,0,5,0,0.0,41.8757,12.482,1,1,0
803,Autovettura,0,0,5,0,0.0,41.8757,12.482,1,1,0
804,Autovettura,0,0,5,0,0.0,41.8757,12.482,1,1,0
805,Autovettura,0,0,5,0,0.0,41.8757,12.482,1,1,0
806,Autovettura,0,0,3,0,0.0,41.8724,12.492,1,1,0
807,Autovettura,0,0,3,0,0.0,41.8724,12.492,1,1,0
808,Autovettura,0,0,3,0,0.0,41.8724,12.492,1,1,0
809,Autovettura,0,0,2,0,0.0,41.8932,12.5096,1,1,1
810,Autovettura,0,0,2,0,0.0,41.8932,12.5096,1,1,1
811,Autovettura,0,0,3,0,0.0,41.8535,12.5751,2,1,1
812,Autovettura,0,0,3,0,0.0,41.8535,12.5751,2,1,1
813,Autovettura,0,0,3,0,0.0,41.8535,12.5751,2,1,1
814,Motociclo,0,0,2,0,0.0,41.904,12.4894,2,1,1
815,Autovettura,0,0,2,0,0.0,41.904,12.4894,2,1,1
816,Autovettura,1,0,4,0,0.0,41.8691,12.5381,2,1,1
817,Autovettura,1,0,4,0,0.0,41.8691,12.5381,2,1,1
818,Autovettura,1,0,4,0,0.0,41.8691,12.5381,2,1,1
819,Autovettura,1,0,4,0,0.0,41.8691,12.5381,2,1,1
820,Autocarro,1,0,4,0,0.0,41.8691,12.5381,2,1,1
821,Autovettura,0,0,0,0,0.0,41.8889,12.4686,2,1,1
822,Motociclo,0,0,0,0,0.0,41.8889,12.4686,2,1,1
823,Motociclo,0,0,0,0,0.0,41.8889,12.4686,2,1,1
824,Motociclo,0,0,0,0,0.0,41.8889,12.4686,2,1,1
825,Autovettura,0,0,0,0,0.0,41.8889,12.4686,2,1,1
826,Autovettura,0,0,1,0,0.0,,,1,1,0
827,Autovettura,2,0,2,0,0.0,41.7659,12.3217,1,2,1
828,Autovettura,2,0,2,0,0.0,41.7659,12.3217,1,2,0
829,Autovettura,2,0,2,0,0.0,41.7659,12.3217,1,2,1
830,Autovettura,2,0,2,0,0.0,41.7659,12.3217,1,2,1
831,Autovettura,0,0,3,0,0.0,41.9154,12.6243,1,2,1
832,Autovettura,0,0,3,0,0.0,41.9154,12.6243,1,2,1
833,Autovettura,0,0,3,0,0.0,41.9154,12.6243,1,2,1
834,Autovettura,0,0,3,0,0.0,41.8824,12.5136,1,2,0
835,Autovettura,0,0,3,0,0.0,41.8824,12.5136,1,2,0
836,Autovettura,0,0,3,0,0.0,41.8824,12.5136,1,2,1
837,Autovettura,2,0,2,0,0.0,41.8561,12.5714,1,1,1
838,Autovettura,2,0,2,0,0.0,41.8561,12.5714,1,1,1
839,Autovettura,2,0,2,0,0.0,41.8561,12.5714,1,1,1
840,Autovettura,2,0,2,0,0.0,41.8561,12.5714,1,1,1
841,Autovettura,1,0,1,0,0.0,41.8584,12.5858,1,1,0
842,Autovettura,1,0,1,0,0.0,41.8584,12.5858,1,1,0
843,Autovettura,2,0,2,0,0.0,41.8587,12.5915,1,3,1
844,Autovettura,2,0,2,0,0.0,41.8587,12.5915,1,3,1
845,Autovettura,2,0,2,0,0.0,41.8587,12.5915,1,3,1
846,Autovettura,2,0,2,0,0.0,41.8587,12.5915,1,3,1
847,Autovettura,0,0,2,0,0.0,41.9103,12.7101,1,2,0
848,Autovettura,0,0,2,0,0.0,41.9103,12.7101,1,2,0
849,Autovettura,0,0,2,0,0.0,41.8905,12.6813,2,1,0
850,Autovettura,0,0,2,0,0.0,41.8905,12.6813,2,1,1
851,Autovettura,0,0,5,0,0.0,41.9291,12.708,1,2,0
852,Autovettura,0,0,5,0,0.0,41.9291,12.708,1,2,0
853,Autovettura,0,0,5,0,0.0,41.9291,12.708,1,2,0
854,Autovettura,0,0,5,0,0.0,41.9291,12.708,1,2,0
855,Autovettura,0,0,5,0,0.0,41.9291,12.708,1,2,0
856,Autovettura,0,0,4,0,0.0,41.8626,12.6212,1,2,0
857,Autovettura,0,0,4,0,0.0,41.8626,12.6212,1,2,0
858,Autovettura,0,0,4,0,0.0,41.8626,12.6212,1,2,0
859,Autovettura,0,0,4,0,0.0,41.8626,12.6212,1,2,0
860,Autovettura,1,0,1,0,0.0,41.893,12.6162,1,3,0
861,Autovettura,1,0,1,0,0.0,41.893,12.6162,1,3,1
862,Autovettura,1,0,1,0,0.0,41.8816,12.6171,1,2,0
863,Autovettura,1,0,1,0,0.0,41.8816,12.6171,1,2,0
864,Autovettura,0,0,4,0,0.0,41.9029,12.6589,2,2,0
865,Autovettura,0,0,4,0,0.0,41.9029,12.6589,2,2,0
866,Autovettura,0,0,4,0,0.0,41.9029,12.6589,2,2,0
867,Autovettura,0,0,4,0,0.0,41.9029,12.6589,2,2,0
868,Autovettura,2,0,0,0,0.0,41.9171,12.6841,1,2,0
869,Autovettura,2,0,0,0,0.0,41.9171,12.6841,1,2,0
870,Autovettura,0,0,1,0,0.0,41.8614,12.5959,1,1,1
871,Motociclo,0,0,1,0,0.0,41.8614,12.5959,1,1,1
872,Autovettura,0,0,1,0,0.0,41.8614,12.5959,1,1,1
873,Autovettura,1,0,3,0,0.0,41.8617,12.6703,1,3,1
874,Autovettura,1,0,3,0,0.0,41.8617,12.6703,1,3,1
875,Autovettura,1,0,3,0,0.0,41.8617,12.6703,1,3,1
876,Autovettura,1,0,3,0,0.0,41.8617,12.6703,1,3,1
877,Autovettura,0,0,2,0,0.0,41.8616,12.5988,1,2,1
878,Autovettura,0,0,2,0,0.0,41.8616,12.5988,1,2,1
