,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
38330,Motociclo,0,0,1,0,0.0,41.9179,12.4607,2020-10-01 19:50:00,1.0,2,1,1
38331,Autovettura,1,0,2,0,0.0,41.8714,12.4674,2020-10-02 13:00:00,1.0,3,0,1
38332,Autovettura,1,0,2,0,0.0,41.8714,12.4674,2020-10-02 13:00:00,1.0,3,0,1
38333,Motociclo,1,0,2,0,0.0,41.8714,12.4674,2020-10-02 13:00:00,1.0,3,1,1
38334,Autovettura,0,0,2,0,0.0,41.8445,12.4361,2020-10-02 13:50:00,1.0,2,0,1
38335,Autovettura,0,0,2,0,0.0,41.8445,12.4361,2020-10-02 13:50:00,1.0,2,0,1
38336,Autovettura,0,0,2,0,0.0,41.8436,12.4766,2020-10-02 15:05:00,1.0,2,0,1
38337,Autovettura,0,0,2,0,0.0,41.8436,12.4766,2020-10-02 15:05:00,1.0,2,0,1
38364,Autovettura,0,0,1,0,0.0,41.9405,12.5293,2020-10-02 13:20:00,1.0,2,1,1
38418,Autovettura,0,0,7,0,0.0,,,2020-10-02 10:25:00,1.0,2,1,1
38365,Autovettura,0,0,1,0,0.0,41.9405,12.5293,2020-10-02 13:20:00,1.0,2,1,1
38367,Autovettura,0,0,2,0,0.0,41.9823,12.513,2020-10-02 11:45:00,1.0,2,0,1
38395,Autovettura,2,0,0,0,0.0,41.7357,12.2881,2020-10-03 02:30:00,1.0,1,1,2
38396,Autovettura,0,0,1,0,0.0,41.9488,12.5062,2020-10-03 03:30:00,1.0,2,0,1
38397,Autovettura,1,0,0,0,0.0,41.91,12.4531,2020-10-03 04:00:00,1.0,1,1,1
38398,Autovettura,1,0,1,0,0.0,41.8666,12.4505,2020-10-02 17:40:00,1.0,2,1,1
38399,Motociclo,1,0,1,0,0.0,41.8666,12.4505,2020-10-02 17:40:00,1.0,2,0,1
38400,Autovettura,0,0,2,0,0.0,41.8796,12.4585,2020-10-02 19:55:00,1.0,2,1,1
38401,Autovettura,0,0,2,0,0.0,41.8796,12.4585,2020-10-02 19:55:00,1.0,2,1,1
38402,Autovettura,1,0,1,0,0.0,41.8725,12.4449,2020-10-02 20:10:00,1.0,2,0,1
38403,Autovettura,1,0,1,0,0.0,41.8725,12.4449,2020-10-02 20:10:00,1.0,2,0,1
38404,Autovettura,1,0,0,0,0.0,41.8813,12.3497,2020-10-03 01:00:00,1.0,1,1,1
38394,Autovettura,2,0,0,0,0.0,41.7357,12.2881,2020-10-03 02:30:00,1.0,1,1,2
38405,Autovettura,1,0,2,0,0.0,41.8813,12.4974,2020-10-03 11:10:00,1.0,2,0,1
38407,Autocarro,1,0,2,0,0.0,41.8813,12.4974,2020-10-03 11:10:00,1.0,2,0,1
38408,Autovettura,0,0,2,0,0.0,41.8744,12.4477,2020-10-03 10:00:00,1.0,2,0,1
38409,Autovettura,0,0,2,0,0.0,41.8744,12.4477,2020-10-03 10:00:00,1.0,2,0,1
38410,Motociclo,1,0,0,0,0.0,41.871,12.4675,2020-10-02 19:40:00,1.0,2,0,1
38411,Motociclo,1,0,0,0,0.0,41.871,12.4675,2020-10-02 19:40:00,1.0,2,1,1
38412,Autovettura,0,0,5,0,0.0,41.8426,12.3882,2020-10-03 10:30:00,2.0,1,0,1
38413,Autovettura,0,0,5,0,0.0,41.8426,12.3882,2020-10-03 10:30:00,2.0,1,1,1
38414,Autovettura,0,0,5,0,0.0,41.8426,12.3882,2020-10-03 10:30:00,2.0,1,1,1
38415,Autovettura,0,0,5,0,0.0,41.8426,12.3882,2020-10-03 10:30:00,2.0,1,1,1
38416,Autovettura,0,0,5,0,0.0,41.8426,12.3882,2020-10-03 10:30:00,2.0,1,0,1
38406,Autovettura,1,0,2,0,0.0,41.8813,12.4974,2020-10-03 11:10:00,1.0,2,0,1
38393,Autovettura,2,0,0,0,0.0,41.7357,12.2881,2020-10-03 02:30:00,1.0,1,1,2
38392,Autovettura,2,0,0,0,0.0,41.7357,12.2881,2020-10-03 02:30:00,1.0,1,0,2
38391,Autovettura,2,0,0,0,0.0,41.7357,12.2881,2020-10-03 02:30:00,1.0,1,0,2
38368,Autovettura,0,0,1,0,0.0,41.9361,12.5288,2020-10-02 17:20:00,1.0,1,1,1
38369,Autovettura,0,0,1,0,0.0,41.7387,12.2812,2020-10-02 09:30:00,1.0,2,1,1
38370,Autovettura,0,0,1,0,0.0,41.7387,12.2812,2020-10-02 09:30:00,1.0,2,0,1
38371,Autovettura,1,0,1,0,0.0,41.9082,12.4477,2020-10-02 15:10:00,1.0,2,1,1
38372,Motociclo,1,0,1,0,0.0,41.9082,12.4477,2020-10-02 15:10:00,1.0,2,0,1
38373,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38374,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38375,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38376,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38377,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38378,Autovettura,0,0,6,0,0.0,42.4174,13.0816,2020-10-02 19:10:00,1.0,3,0,1
38379,Autovettura,0,0,2,0,0.0,41.9492,12.566,2020-10-02 19:55:00,1.0,1,0,1
38380,Autovettura,0,0,2,0,0.0,41.9492,12.566,2020-10-02 19:55:00,1.0,1,0,1
38381,Autovettura,0,0,1,0,0.0,41.7369,12.2934,2020-10-02 19:30:00,1.0,1,0,1
38382,Autovettura,0,0,1,0,0.0,41.7369,12.2934,2020-10-02 19:30:00,1.0,1,1,1
38383,Autovettura,0,0,3,0,0.0,41.959,12.5736,2020-10-03 03:40:00,1.0,1,0,1
38384,Autovettura,0,0,3,0,0.0,41.959,12.5736,2020-10-03 03:40:00,1.0,1,0,1
38385,Autovettura,0,0,3,0,0.0,41.959,12.5736,2020-10-03 03:40:00,1.0,1,1,1
38386,Autovettura,0,0,5,0,0.0,41.7336,12.367,2020-10-02 22:20:00,1.0,2,0,1
38387,Autovettura,0,0,5,0,0.0,41.7336,12.367,2020-10-02 22:20:00,1.0,2,0,1
38388,Autovettura,0,0,5,0,0.0,41.7336,12.367,2020-10-02 22:20:00,1.0,2,0,1
38389,Autovettura,0,0,5,0,0.0,41.7336,12.367,2020-10-02 22:20:00,1.0,2,0,1
38390,Autovettura,0,0,5,0,0.0,41.7336,12.367,2020-10-02 22:20:00,1.0,2,0,1
38366,Autovettura,0,0,2,0,0.0,41.9823,12.513,2020-10-02 11:45:00,1.0,2,0,1
33867,Autovettura,0,0,3,0,0.0,41.9947,12.4552,2020-09-08 17:25:00,1.0,2,0,1
33866,Autovettura,0,0,3,0,0.0,41.9947,12.4552,2020-09-08 17:25:00,1.0,2,0,1
33865,Autovettura,0,0,3,0,0.0,41.9947,12.4552,2020-09-08 17:25:00,1.0,2,0,1
29339,Autovettura,2,0,2,0,0.0,41.9061,12.5513,2020-08-04 16:15:00,1.0,3,0,1
29340,Autovettura,2,0,2,0,0.0,41.9061,12.5513,2020-08-04 16:15:00,1.0,3,0,1
29341,Autovettura,2,0,2,0,0.0,41.9061,12.5513,2020-08-04 16:15:00,1.0,3,0,1
29342,Autovettura,2,0,2,0,0.0,41.9061,12.5513,2020-08-04 16:15:00,1.0,3,0,1
29343,Autovettura,0,0,1,0,0.0,41.8144,12.4319,2020-08-04 19:50:00,1.0,1,1,1
29344,Autovettura,0,0,1,0,0.0,41.8144,12.4319,2020-08-04 19:50:00,1.0,1,1,1
29345,Autovettura,0,0,1,0,0.0,41.8144,12.4319,2020-08-04 19:50:00,1.0,1,1,1
29346,Autovettura,0,0,1,0,0.0,41.8144,12.4319,2020-08-04 19:50:00,1.0,1,1,1
29347,Autovettura,0,0,1,0,0.0,41.8144,12.4319,2020-08-04 19:50:00,1.0,1,1,1
29348,Autovettura,0,0,2,0,0.0,41.7616,12.5229,2020-08-04 17:50:00,1.0,2,1,1
29338,Autovettura,1,0,1,0,0.0,41.9455,12.5926,2020-08-04 10:20:00,1.0,2,0,1
29349,Motociclo,0,0,2,0,0.0,41.7616,12.5229,2020-08-04 17:50:00,1.0,2,1,1
29351,Autovettura,3,0,2,0,0.0,41.8603,12.5921,2020-08-04 08:15:00,1.0,2,1,3
29352,Autovettura,3,0,2,0,0.0,41.8603,12.5921,2020-08-04 08:15:00,1.0,2,1,3
29353,Autovettura,3,0,2,0,0.0,41.8603,12.5921,2020-08-04 08:15:00,1.0,2,1,3
29354,Autovettura,3,0,2,0,0.0,41.8603,12.5921,2020-08-04 08:15:00,1.0,2,1,3
29355,Autovettura,0,0,2,0,0.0,41.8933,12.6155,2020-08-04 17:00:00,1.0,2,0,1
29356,Autovettura,0,0,2,0,0.0,41.8933,12.6155,2020-08-04 17:00:00,1.0,2,0,1
29357,Autocarro,0,0,2,0,0.0,41.8933,12.6155,2020-08-04 17:00:00,1.0,2,1,1
29358,Autovettura,0,0,2,0,0.0,41.8103,12.4856,2020-08-04 13:20:00,1.0,2,1,1
29359,Autovettura,0,0,2,0,0.0,41.8103,12.4856,2020-08-04 13:20:00,1.0,2,1,1
29360,Autovettura,0,0,5,0,0.0,41.7876,12.4439,2020-08-04 16:15:00,1.0,2,0,1
29350,Autovettura,3,0,2,0,0.0,41.8603,12.5921,2020-08-04 08:15:00,1.0,2,1,3
29361,Autovettura,0,0,5,0,0.0,41.7876,12.4439,2020-08-04 16:15:00,1.0,2,0,1
29337,Autovettura,1,0,1,0,0.0,41.9455,12.5926,2020-08-04 10:20:00,1.0,2,0,1
29335,Autovettura,1,0,7,0,0.0,41.8666,12.4505,2020-08-04 11:40:00,1.0,2,0,1
29313,Motociclo,1,0,1,0,0.0,41.7942,12.4572,2020-08-03 18:25:00,1.0,2,1,1
29314,Autovettura,1,0,1,0,0.0,41.7942,12.4572,2020-08-03 18:25:00,1.0,2,1,1
29315,Autovettura,1,0,3,0,0.0,41.7342,12.3595,2020-08-04 00:10:00,1.0,2,0,1
29316,Autovettura,1,0,3,0,0.0,41.7342,12.3595,2020-08-04 00:10:00,1.0,2,0,1
29317,Autovettura,1,0,3,0,0.0,41.7342,12.3595,2020-08-04 00:10:00,1.0,2,0,1
29318,Autovettura,1,0,3,0,0.0,41.7342,12.3595,2020-08-04 00:10:00,1.0,2,0,1
29319,Autovettura,2,0,1,0,0.0,41.9072,12.4686,2020-08-04 00:20:00,1.0,1,1,2
29320,Autovettura,2,0,1,0,0.0,41.9072,12.4686,2020-08-04 00:20:00,1.0,1,1,2
29321,Autovettura,2,0,1,0,0.0,41.9072,12.4686,2020-08-04 00:20:00,1.0,1,1,2
29322,Autovettura,0,0,2,0,0.0,41.8636,12.4646,2020-08-04 10:20:00,1.0,3,0,1
