,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
38790,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,1,1
38818,Autovettura,0,0,4,0,0.0,41.9092,12.4888,2020-10-04 15:30:00,1.0,2,1,1
38819,Autovettura,0,0,4,0,0.0,41.9092,12.4888,2020-10-04 15:30:00,1.0,2,1,1
38820,Autovettura,0,0,4,0,0.0,41.9092,12.4888,2020-10-04 15:30:00,1.0,2,1,1
38821,Autovettura,0,0,4,0,0.0,41.9092,12.4888,2020-10-04 15:30:00,1.0,2,1,1
38822,Autovettura,0,0,1,0,0.0,41.9225,12.4922,2020-10-02 17:00:00,1.0,2,1,1
38823,Autovettura,0,0,1,0,0.0,41.9225,12.4922,2020-10-02 17:00:00,1.0,2,1,1
38824,Autovettura,0,0,2,0,0.0,41.943,12.3827,2020-10-04 15:45:00,1.0,2,1,1
38825,Autovettura,0,0,2,0,0.0,41.943,12.3827,2020-10-04 15:45:00,1.0,2,1,1
38826,Autovettura,0,0,3,0,0.0,41.8818,12.5605,2020-10-03 19:45:00,2.0,3,1,1
38827,Autovettura,0,0,3,0,0.0,41.8818,12.5605,2020-10-03 19:45:00,2.0,3,1,1
38817,Autovettura,1,0,3,0,0.0,41.9085,12.5586,2020-10-04 19:20:00,1.0,2,0,1
