DataOraIncidente,NumeroIncidenti
2020-01-02,1
2020-01-05,2
2020-01-07,3
2020-01-08,3
2020-01-09,8
2020-01-13,4
2020-01-14,2
2020-01-15,1
2020-01-17,3
2020-01-18,4
2020-01-20,1
2020-01-21,3
2020-01-22,3
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-27,4
2020-01-28,3
2020-01-29,2
2020-01-30,5
2020-01-31,3
2020-02-01,3
2020-02-02,2
2020-02-04,4
2020-02-05,2
2020-02-06,3
2020-02-07,2
2020-02-10,2
2020-02-11,2
2020-02-13,3
2020-02-14,8
2020-02-15,1
2020-02-18,3
2020-02-19,6
2020-02-20,1
2020-02-21,2
2020-02-22,2
2020-02-24,1
2020-02-26,4
2020-02-27,2
2020-02-28,5
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,5
2020-03-06,3
2020-03-07,5
2020-03-08,5
2020-03-09,2
2020-03-10,1
2020-03-17,1
2020-03-18,1
2020-03-26,2
2020-03-28,1
2020-03-29,1
2020-03-31,2
2020-04-03,1
2020-04-06,1
2020-04-20,1
2020-04-24,1
2020-04-27,2
2020-05-02,1
2020-05-03,2
2020-05-04,1
2020-05-07,1
2020-05-09,2
2020-05-11,2
2020-05-12,4
2020-05-14,3
2020-05-15,2
2020-05-16,2
2020-05-19,2
2020-05-20,2
2020-05-21,9
2020-05-22,3
2020-05-24,1
2020-05-25,1
2020-05-26,3
2020-05-28,2
2020-05-29,1
2020-05-30,1
2020-06-01,4
2020-06-03,2
2020-06-04,3
2020-06-06,2
2020-06-07,3
2020-06-08,3
2020-06-10,7
2020-06-11,2
2020-06-13,2
2020-06-14,1
2020-06-15,1
2020-06-17,2
2020-06-18,3
2020-06-19,2
2020-06-20,2
2020-06-22,4
2020-06-23,1
2020-06-25,1
2020-06-26,7
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-01,1
2020-07-04,2
2020-07-05,7
2020-07-06,1
2020-07-07,2
2020-07-10,3
2020-07-14,1
2020-07-15,3
2020-07-16,2
2020-07-19,2
2020-07-21,4
2020-07-22,2
2020-07-23,3
2020-07-25,5
2020-07-26,5
2020-07-27,3
2020-07-28,5
2020-07-29,2
2020-07-30,4
2020-08-02,1
2020-08-03,2
2020-08-04,1
2020-08-05,4
2020-08-06,10
2020-08-08,1
2020-08-10,3
2020-08-13,1
2020-08-16,4
2020-08-19,5
2020-08-24,7
2020-08-25,2
2020-08-26,1
2020-08-27,2
2020-08-28,3
2020-09-01,3
2020-09-03,4
2020-09-04,7
2020-09-05,1
2020-09-10,3
2020-09-12,2
2020-09-13,3
2020-09-15,5
2020-09-16,3
2020-09-17,8
2020-09-18,11
2020-09-19,3
2020-09-20,1
2020-09-21,7
2020-09-22,7
2020-09-23,6
2020-09-24,5
2020-09-25,1
2020-09-26,1
2020-09-28,2
2020-09-29,1
2020-09-30,1
2020-10-01,1
2020-10-02,2
2020-10-03,1
2020-10-05,1
2020-10-06,2
2020-10-07,4
2020-10-08,1
2020-10-10,1
2020-10-12,3
2020-10-13,5
2020-10-14,1
2020-10-15,2
2020-10-16,3
2020-10-20,3
2020-10-23,4
2020-10-24,3
2020-10-27,4
2020-10-28,1
2020-10-29,2
2020-10-30,7
2020-11-02,1
2020-11-03,1
2020-11-04,2
2020-11-06,2
2020-11-07,2
2020-11-08,1
2020-11-09,2
2020-11-10,5
2020-11-11,3
2020-11-12,2
2020-11-14,1
2020-11-15,1
2020-11-16,3
2020-11-18,3
2020-11-19,3
2020-11-20,1
2020-11-21,2
2020-11-24,5
2020-11-26,6
2020-11-28,1
2020-11-29,1
2020-11-30,2
2020-12-02,3
2020-12-04,1
2020-12-07,1
2020-12-11,2
2020-12-13,3
2020-12-14,2
2020-12-16,9
2020-12-17,2
2020-12-19,2
2020-12-22,7
2020-12-23,2
