DataOraIncidente,NumeroIncidenti
2020-01-01,3
2020-01-06,1
2020-01-08,2
2020-01-09,4
2020-01-11,3
2020-01-13,2
2020-01-14,1
2020-01-16,2
2020-01-18,6
2020-01-20,1
2020-01-22,4
2020-01-23,5
2020-01-24,7
2020-01-25,5
2020-01-26,1
2020-01-27,2
2020-01-28,1
2020-01-29,5
2020-01-30,1
2020-01-31,5
2020-02-02,2
2020-02-03,2
2020-02-06,1
2020-02-09,1
2020-02-10,6
2020-02-11,5
2020-02-12,4
2020-02-14,1
2020-02-15,4
2020-02-16,5
2020-02-19,1
2020-02-20,5
2020-02-22,1
2020-02-26,4
2020-02-28,4
2020-02-29,1
2020-03-03,3
2020-03-04,4
2020-03-05,2
2020-03-06,3
2020-03-07,4
2020-03-08,1
2020-03-09,1
2020-03-12,2
2020-03-13,1
2020-03-18,2
2020-03-19,3
2020-03-26,1
2020-03-30,1
2020-04-01,2
2020-04-03,1
2020-04-04,1
2020-04-06,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-13,1
2020-04-14,3
2020-04-15,5
2020-04-20,6
2020-04-21,1
2020-04-26,3
2020-04-28,1
2020-05-01,1
2020-05-07,2
2020-05-08,1
2020-05-11,1
2020-05-12,4
2020-05-15,1
2020-05-16,1
2020-05-19,1
2020-05-21,1
2020-05-22,1
2020-05-23,1
2020-05-25,1
2020-05-26,4
2020-05-27,4
2020-05-28,1
2020-05-29,3
2020-06-01,1
2020-06-07,3
2020-06-09,1
2020-06-10,2
2020-06-11,5
2020-06-13,2
2020-06-15,3
2020-06-16,1
2020-06-17,1
2020-06-19,2
2020-06-20,1
2020-06-21,6
2020-06-22,2
2020-06-25,1
2020-06-26,1
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,2
2020-07-02,2
2020-07-03,4
2020-07-04,2
2020-07-05,1
2020-07-09,1
2020-07-12,3
2020-07-15,1
2020-07-16,3
2020-07-17,4
2020-07-18,4
2020-07-19,1
2020-07-21,3
2020-07-23,1
2020-07-27,6
2020-07-28,1
2020-07-30,4
2020-07-31,2
2020-08-01,1
2020-08-02,1
2020-08-03,3
2020-08-05,1
2020-08-07,3
2020-08-08,1
2020-08-11,5
2020-08-13,1
2020-08-14,5
2020-08-20,4
2020-08-21,2
2020-08-22,1
2020-08-23,4
2020-08-25,1
2020-08-27,4
2020-08-30,10
2020-08-31,8
2020-09-01,1
2020-09-05,2
2020-09-06,6
2020-09-07,3
2020-09-08,2
2020-09-09,3
2020-09-10,1
2020-09-11,1
2020-09-12,1
2020-09-13,4
2020-09-14,4
2020-09-17,3
2020-09-19,1
2020-09-21,2
2020-09-22,9
2020-09-23,4
2020-09-24,1
2020-09-25,1
2020-09-26,3
2020-09-27,6
2020-09-28,2
2020-09-30,1
2020-10-01,4
2020-10-02,2
2020-10-04,2
2020-10-05,1
2020-10-06,1
2020-10-07,2
2020-10-10,2
2020-10-11,2
2020-10-12,2
2020-10-13,4
2020-10-14,8
2020-10-15,2
2020-10-16,5
2020-10-18,3
2020-10-19,5
2020-10-20,1
2020-10-21,4
2020-10-22,1
2020-10-23,2
2020-10-24,5
2020-10-25,1
2020-10-26,2
2020-10-27,2
2020-10-29,5
2020-11-01,2
2020-11-02,1
2020-11-04,2
2020-11-05,1
2020-11-08,2
2020-11-09,1
2020-11-13,1
2020-11-14,5
2020-11-15,3
2020-11-16,4
2020-11-17,2
2020-11-18,1
2020-11-21,4
2020-11-22,1
2020-11-23,3
2020-11-25,1
2020-11-26,1
2020-11-28,2
2020-11-29,2
2020-11-30,4
2020-12-03,1
2020-12-05,5
2020-12-06,5
2020-12-07,1
2020-12-08,6
2020-12-09,2
2020-12-10,6
2020-12-12,5
2020-12-13,4
2020-12-14,2
2020-12-15,2
2020-12-16,1
2020-12-17,1
2020-12-19,2
2020-12-21,5
2020-12-22,1
2020-12-26,1
2020-12-29,2
2020-12-30,1
2020-12-31,2
