DataOraIncidente,NumeroIncidenti
2019-01-01,35
2019-01-02,16
2019-01-03,37
2019-01-04,40
2019-01-05,33
2019-01-06,16
2019-01-07,29
2019-01-08,41
2019-01-09,37
2019-01-10,24
2019-01-11,51
2019-01-12,38
2019-01-13,27
2019-01-14,50
2019-01-15,27
2019-01-16,12
2019-01-17,58
2019-01-18,39
2019-01-19,16
2019-01-20,26
2019-01-21,21
2019-01-22,36
2019-01-23,49
2019-01-24,9
2019-01-25,22
2019-01-26,22
2019-01-27,33
2019-01-28,49
2019-01-29,43
2019-01-30,46
2019-01-31,30
2019-02-01,35
2019-02-02,36
2019-02-03,17
2019-02-04,51
2019-02-05,34
2019-02-06,36
2019-02-07,27
2019-02-08,32
2019-02-09,21
2019-02-10,18
2019-02-11,65
2019-02-12,51
2019-02-13,44
2019-02-14,35
2019-02-15,48
2019-02-16,58
2019-02-17,36
2019-02-18,32
2019-02-19,22
2019-02-20,26
2019-02-21,39
2019-02-22,31
2019-02-23,31
2019-02-24,43
2019-02-25,40
2019-02-26,38
2019-02-27,29
2019-02-28,48
2019-03-01,31
2019-03-02,35
2019-03-03,35
2019-03-04,42
2019-03-05,61
2019-03-06,67
2019-03-07,26
2019-03-08,37
2019-03-09,43
2019-03-10,19
2019-03-11,49
2019-03-12,41
2019-03-13,72
2019-03-14,44
2019-03-15,26
2019-03-16,44
2019-03-17,29
2019-03-18,46
2019-03-19,27
2019-03-20,37
2019-03-21,47
2019-03-22,82
2019-03-23,42
2019-03-24,28
2019-03-25,51
2019-03-26,66
2019-03-27,59
2019-03-28,44
2019-03-29,50
2019-03-30,40
2019-03-31,83
2019-04-01,54
2019-04-02,30
2019-04-03,27
2019-04-04,51
2019-04-05,52
2019-04-06,50
2019-04-07,36
2019-04-08,47
2019-04-09,46
2019-04-10,55
2019-04-11,55
2019-04-12,60
2019-04-13,55
2019-04-14,37
2019-04-15,22
2019-04-16,36
2019-04-17,80
2019-04-18,43
2019-04-19,43
2019-04-20,56
2019-04-21,24
2019-04-22,27
2019-04-23,49
2019-04-24,56
2019-04-25,16
2019-04-26,39
2019-04-27,16
2019-04-28,26
2019-04-29,49
2019-04-30,38
2019-05-01,27
2019-05-02,59
2019-05-03,54
2019-05-04,49
2019-05-05,23
2019-05-06,54
2019-05-07,44
2019-05-08,53
2019-05-09,56
2019-05-10,29
2019-05-11,42
2019-05-12,41
2019-05-13,27
2019-05-14,25
2019-05-15,76
2019-05-16,24
2019-05-17,42
2019-05-18,28
2019-05-19,45
2019-05-20,67
2019-05-21,29
2019-05-22,21
2019-05-23,61
2019-05-24,43
2019-05-25,28
2019-05-26,77
2019-05-27,56
2019-05-28,50
2019-05-29,42
2019-05-30,39
2019-05-31,37
2019-06-01,31
2019-06-02,28
2019-06-03,44
2019-06-04,47
2019-06-05,51
2019-06-06,54
2019-06-07,50
2019-06-08,36
2019-06-09,45
2019-06-10,39
2019-06-11,40
2019-06-12,53
2019-06-13,55
2019-06-14,48
2019-06-15,49
2019-06-16,10
2019-06-17,53
2019-06-18,43
2019-06-19,59
2019-06-20,40
2019-06-21,46
2019-06-22,30
2019-06-23,28
2019-06-24,44
2019-06-25,69
2019-06-26,71
2019-06-27,45
2019-06-28,57
2019-06-29,27
2019-06-30,14
2019-07-01,47
2019-07-02,47
2019-07-03,57
2019-07-04,47
2019-07-05,51
2019-07-06,21
2019-07-07,14
2019-07-08,50
2019-07-09,41
2019-07-10,38
2019-07-11,46
2019-07-12,43
2019-07-13,32
2019-07-14,29
2019-07-15,34
2019-07-16,67
