DataOraIncidente,NumeroIncidenti
2019-01-01,13,
2019-01-11,66,
2019-01-21,80,
2019-01-31,68,
2019-02-10,75,
2019-02-20,61,
2019-03-02,91,
2019-03-12,74,
2019-03-22,73,
2019-04-01,83,
2019-04-11,95,
2019-04-21,84,
2019-05-01,56,
2019-05-11,85,
2019-05-21,71,
2019-05-31,88,
2019-06-10,83,
2019-06-20,85,
2019-06-30,68,
2019-07-10,84,
2019-07-20,84,
2019-07-30,69,
2019-08-09,73,
2019-08-19,59,
2019-08-29,50,
2019-09-08,66,
2019-09-18,86,
2019-09-28,82,
2019-10-08,94,
2019-10-18,99,
2019-10-28,85,
2019-11-07,93,
2019-11-17,86,
2019-11-27,71,
2019-12-07,72,
2019-12-17,77,
2019-12-27,81,
2019-12-31,33
