DataOraIncidente,NumeroIncidenti
2019-01-01,20
2019-01-10,154
2019-01-20,184
2019-02-01,245
2019-02-10,160
2019-02-20,176
2019-03-01,174
2019-03-10,172
2019-03-20,178
2019-04-01,244
2019-04-10,176
2019-04-20,255
2019-05-01,156
2019-05-10,164
2019-05-20,188
2019-06-01,235
2019-06-10,189
2019-06-20,213
2019-07-01,217
2019-07-10,177
2019-07-20,174
2019-08-01,198
2019-08-10,139
2019-08-20,112
2019-09-01,159
2019-09-10,144
2019-09-20,196
2019-10-01,217
2019-10-10,164
2019-10-20,191
2019-11-01,245
2019-11-10,202
2019-11-20,190
2019-12-01,205
2019-12-10,169
2019-12-20,238
2020-01-01,178
